time,x,y,z
9,49.81079,-27.02942,-32.24335
59,48.09875,-26.49994,-33.65936
109,47.63336,-26.67694,-34.08203
162,47.97668,-27.33459,-32.85370
208,47.20917,-27.23389,-34.01794
257,46.80023,-27.30103,-34.31244
308,48.19946,-28.05481,-31.28815
358,47.95837,-27.97699,-32.57599
409,48.42377,-27.88239,-31.49872
459,47.61658,-27.67944,-31.23322
509,46.61255,-27.96936,-33.05054
559,46.41571,-29.21143,-31.37817
609,44.88525,-29.56085,-31.81763
658,44.29169,-30.40924,-32.13959
708,43.29681,-30.29175,-31.81000
758,42.67578,-30.26886,-32.33032
809,40.77454,-30.17731,-32.45392
859,39.56451,-30.31158,-33.11310
910,37.80060,-30.05829,-33.30383
958,36.55548,-29.47235,-33.64105
1008,35.62927,-29.94843,-33.78448
1059,34.82208,-29.35333,-34.75037
1108,34.92889,-29.46930,-35.95123
1168,33.87146,-29.53949,-34.54132
1209,33.13599,-29.30908,-35.90240
1258,32.53174,-29.26483,-35.54535
1308,32.47375,-29.48914,-35.71167
1358,31.89850,-29.54865,-34.33075
1408,31.15845,-29.73785,-35.84747
1457,30.40009,-29.96368,-34.35059
1508,30.48248,-30.45654,-33.34961
1559,29.24194,-31.03485,-33.18787
1609,28.87726,-31.29272,-32.91626
1660,27.47345,-31.63147,-31.65131
1708,26.63727,-31.52008,-31.79474
1758,26.61438,-31.65894,-31.45905
1808,27.59705,-32.23724,-30.08881
1859,27.80304,-31.97021,-30.53589
1908,28.69263,-31.85730,-29.62494
1958,29.35791,-31.98547,-30.48859
2009,29.44336,-32.32422,-30.05371
2059,29.96216,-32.57446,-29.65088
2109,29.66309,-32.18079,-31.00281
2158,28.78265,-31.96259,-30.41077
2212,27.10724,-31.85272,-30.73425
2258,25.29449,-31.32629,-31.54297
2308,22.92023,-30.82886,-31.43768
2359,22.37396,-30.40314,-31.52771
2409,21.19446,-30.45197,-31.08368
2459,21.13800,-30.90973,-31.27899
2509,21.17004,-30.58624,-31.44226
2559,23.49396,-30.96924,-30.90515
2609,23.92731,-31.26831,-31.00281
2659,25.06409,-31.34308,-30.74188
2710,24.81842,-30.99823,-30.70526
2760,24.73907,-30.47333,-31.01501
2809,22.96753,-29.59290,-31.85120
2859,21.51794,-29.11682,-32.35321
2909,19.33594,-27.76642,-32.73621
2959,17.68951,-26.94550,-33.20465
3009,15.69519,-26.51215,-33.20923
3058,13.55896,-24.46442,-33.50372
3108,10.87341,-23.30170,-33.51898
3160,9.82819,-21.52710,-32.88727
3213,6.94885,-19.59686,-32.75909
3259,4.33960,-17.63763,-34.22394
3308,2.51923,-17.00134,-32.49359
3358,1.14136,-16.28265,-31.30493
3409,1.32446,-17.05170,-28.99323
3458,0.08698,-17.28821,-28.07007
3508,-0.40894,-17.56439,-26.95618
3559,-1.05591,-17.14325,-25.79041
3609,-1.38245,-17.00592,-25.59509
3658,-2.21405,-17.17377,-24.42322
3710,-2.60315,-17.30194,-23.14148
3758,-3.30963,-17.13867,-22.83325
3809,-4.31366,-16.01257,-22.43652
3858,-5.49774,-14.89868,-22.48993
3909,-6.51093,-14.11743,-20.95795
3959,-7.42950,-13.05847,-20.70007
4009,-8.28094,-13.55591,-19.87457
4059,-7.33948,-15.02686,-18.57605
4109,-7.27386,-15.77148,-18.48145
4158,-6.48651,-18.62640,-16.93878
4226,-3.61328,-22.29462,-15.50751
4258,-3.40424,-24.00208,-14.98413
4308,-1.55182,-26.74713,-16.05682
4357,1.63422,-28.96576,-14.05334
4409,5.06744,-31.91071,-12.80060
4458,7.74384,-34.26361,-12.46948
4509,10.06317,-35.25696,-12.77008
4559,13.08136,-36.33423,-12.17957
4610,13.40790,-36.23657,-12.99286
4658,13.89008,-36.41968,-13.05389
4711,13.69934,-35.65521,-12.86621
4760,11.90948,-35.10895,-13.35297
4810,11.86676,-34.64966,-13.84583
4858,11.61041,-34.44977,-13.98315
4911,12.51984,-35.11963,-13.62000
4959,13.63220,-35.75897,-12.48322
5009,15.45105,-36.55548,-12.95319
5059,19.27032,-37.95166,-11.41510
5108,20.14771,-38.01727,-11.37085
5158,21.37451,-38.00659,-11.81488
5215,23.86932,-38.44604,-10.96039
5258,23.80676,-38.43079,-12.43896
5309,26.24969,-38.48267,-11.56311
5358,27.93121,-38.93890,-12.51068
5409,30.23682,-38.68713,-12.75787
5459,31.39191,-38.69629,-13.52081
5509,31.84204,-38.03558,-15.16724
5557,32.15942,-38.01117,-15.46631
5610,32.67517,-37.36572,-16.88385
5658,32.75757,-37.00256,-17.65594
5710,34.30786,-36.73706,-18.92395
5759,33.65173,-35.87036,-21.07544
5810,34.14001,-36.43799,-21.80481
5858,32.13043,-35.56519,-22.57996
5910,32.28760,-35.79865,-23.77625
5960,30.53284,-34.82056,-23.69385
6009,29.97742,-35.27222,-24.09210
6059,28.37524,-34.83887,-23.37952
6109,27.60010,-35.08453,-23.40851
6159,26.23596,-34.75037,-24.73907
6215,27.11029,-35.09216,-22.82257
6259,27.60010,-35.39276,-23.47870
6310,28.89404,-35.86426,-22.45789
6358,29.39148,-36.05804,-22.33582
6410,31.00281,-36.11908,-21.54694
6458,31.56128,-36.32202,-21.89026
6509,31.91223,-36.48224,-21.11359
6558,32.68433,-36.31287,-21.12427
6610,31.91986,-36.17859,-21.59729
6658,32.47986,-36.22894,-21.25702
6709,34.34906,-36.06567,-20.87097
6758,34.62219,-35.92987,-21.08307
6811,36.97662,-36.14502,-20.74432
6858,38.50861,-36.13892,-21.02203
6910,39.28833,-34.77783,-21.34857
6960,42.35382,-34.77020,-21.85669
7010,43.27850,-34.25293,-22.36481
7062,42.75970,-33.61053,-23.99902
7108,43.03436,-33.66547,-24.89166
7159,43.09387,-33.55865,-24.71771
7223,41.95557,-32.74384,-26.18713
7258,41.88995,-32.76978,-26.41296
7308,39.88190,-32.38678,-29.88434
7358,39.30206,-32.16705,-29.82025
7410,40.13977,-32.39899,-29.02069
7458,38.84277,-31.77032,-30.05219
7509,38.61542,-31.52161,-29.13055
7558,38.82294,-32.02667,-29.70886
7610,37.61444,-31.43158,-30.18799
7659,36.45325,-31.45294,-30.16357
7709,36.21063,-31.72455,-30.87006
7759,35.10132,-32.09686,-30.22156
7809,33.39233,-31.99921,-31.00739
7858,33.31757,-32.05719,-30.72052
7909,33.67157,-31.79321,-30.48248
7959,32.87506,-31.94275,-30.79376
8010,32.61414,-31.81610,-31.01959
8059,31.87866,-31.82678,-30.46570
8110,31.20728,-31.92444,-29.72412
8158,29.57001,-32.38220,-30.33447
8214,30.27954,-32.89948,-29.36859
8258,29.91333,-33.23212,-29.13818
8308,28.15704,-32.67975,-28.51715
8358,29.98047,-34.10492,-27.09045
8409,30.29785,-34.89838,-25.57220
8459,30.61829,-35.45990,-24.62616
8509,30.11322,-35.29663,-24.88556
8560,32.19452,-35.69031,-23.03772
8610,33.04138,-36.35406,-22.20764
8658,34.30176,-36.29608,-21.54694
8709,35.43701,-35.94360,-21.87042
8759,36.79199,-36.68823,-22.03827
8810,37.49847,-35.96802,-21.52863
8858,38.21259,-35.59418,-22.29156
8910,38.89465,-35.54382,-22.89124
8959,39.58893,-34.92432,-23.85559
9010,40.23285,-34.69238,-23.63281
9059,40.72876,-33.72498,-24.61090
9109,41.49933,-33.43353,-25.27924
9160,42.18445,-32.99713,-26.41449
9208,41.48102,-32.44476,-27.93884
9263,39.87732,-32.15332,-29.25262
9309,36.22894,-30.80597,-32.41730
9358,36.60126,-31.21643,-31.39191
9409,35.74219,-31.31866,-31.24084
9458,34.35669,-31.74591,-31.03638
9510,33.72040,-31.67572,-31.09589
9557,31.87256,-31.46820,-31.78711
9608,31.41937,-31.77643,-30.76630
9658,30.28564,-32.12891,-30.44128
9709,30.47485,-32.66296,-29.95300
9758,30.21545,-32.61719,-29.52423
9810,30.78156,-33.05969,-29.15649
9860,30.99670,-33.15277,-28.88489
9909,30.88989,-33.10699,-29.02069
9959,31.25610,-33.31451,-28.70331
10008,31.58112,-33.26263,-28.21808
10058,31.57043,-33.25348,-28.35693
10109,29.89349,-32.60040,-29.27399
10159,30.86700,-32.62482,-29.23737
10208,29.73328,-32.51343,-29.45557
10261,29.10919,-32.64160,-30.05829
10308,28.72772,-32.88269,-30.66559
10359,29.11835,-32.65381,-29.27094
10409,27.39563,-32.12128,-29.53033
10458,29.16412,-33.42285,-28.80249
10508,28.14331,-33.36334,-28.19061
10558,27.54669,-33.63800,-27.11792
10609,27.88696,-34.25140,-26.58539
10658,28.01666,-34.23920,-26.13068
10712,27.56348,-34.35211,-25.72632
10758,28.53394,-34.95178,-25.83313
10809,28.51715,-35.17151,-25.44708
10858,29.39148,-35.81543,-24.89777
10909,29.58832,-35.46753,-24.79553
10958,28.05328,-35.08759,-23.85101
11010,28.13568,-35.76660,-24.17908
11059,27.13318,-35.68573,-23.29102
11109,27.16522,-36.44409,-23.00873
11158,26.55945,-36.32050,-22.65625
11208,27.17590,-37.42523,-21.08765
11262,27.66876,-37.96539,-20.43152
11309,27.79694,-37.79144,-21.28448
11358,31.12335,-38.54218,-18.42194
11409,34.00879,-39.14032,-15.58838
11459,36.87897,-39.10370,-14.79034
11509,39.55536,-38.94958,-14.63623
11558,42.24091,-38.22784,-13.59863
11608,43.50281,-37.70447,-14.12659
11660,45.54443,-37.01477,-14.57520
11712,47.70813,-36.03516,-15.28168
11760,49.69330,-35.26306,-15.82489
11809,51.66779,-33.28705,-16.91589
11860,53.94440,-31.73676,-17.94739
11909,55.06287,-30.52063,-18.98041
11959,55.03387,-28.78876,-21.64612
12009,54.50439,-28.14178,-22.77069
12060,53.62701,-28.29437,-25.48523
12109,52.89612,-28.75977,-26.93634
12158,49.72076,-27.97089,-30.36652
12211,49.90234,-28.22571,-30.59082
12265,48.16589,-27.76031,-31.02875
12308,46.09070,-27.17438,-34.04846
12358,46.68274,-27.48566,-32.67365
12410,45.05615,-27.18353,-32.96814
12459,43.53180,-27.11182,-33.90045
12514,41.90216,-27.50244,-33.72955
12561,41.49017,-27.56195,-34.71832
12609,40.81879,-27.42615,-34.59625
12660,40.74860,-27.56348,-34.90601
12710,38.99536,-27.81830,-35.06165
12759,39.16779,-28.18451,-34.76715
12809,38.50250,-28.70789,-34.69086
12858,38.23853,-29.00696,-34.37653
12909,37.14905,-29.00848,-34.03320
12958,36.98730,-29.58069,-33.05817
13009,37.10632,-30.21393,-32.88116
13059,36.31897,-30.68237,-32.47681
13108,36.22589,-31.19049,-31.88019
13158,35.37903,-31.30341,-32.19299
13209,36.94153,-31.36749,-30.75409
13267,36.49139,-31.79016,-30.37262
13308,36.55243,-31.71997,-30.84412
13357,35.99548,-30.89447,-32.30438
13408,36.54175,-31.86493,-31.01807
13458,36.43036,-32.00836,-31.23322
13508,36.31744,-31.84204,-31.42395
13560,35.08453,-31.42395,-31.61163
13609,34.74579,-31.84967,-32.34711
13659,34.12628,-31.56128,-32.14569
13708,31.89697,-31.55670,-33.44879
13757,32.33185,-31.19812,-34.05457
13807,29.27856,-30.35889,-35.18219
13858,28.91693,-30.08118,-34.76257
13908,28.46680,-29.95758,-35.57892
13958,28.53088,-30.43365,-35.45532
14008,26.75171,-30.28717,-34.57336
14058,26.26038,-30.52063,-34.71222
14108,24.82452,-30.59998,-34.48334
14158,24.05853,-30.73425,-35.02960
14208,24.17145,-30.98602,-32.88879
14258,23.42987,-31.64368,-32.56683
14311,22.97058,-31.91528,-30.29938
14358,23.44971,-31.51093,-31.60553
14409,24.18823,-31.85272,-31.53229
14458,22.79816,-31.61774,-31.92902
14508,21.72089,-31.04858,-32.60040
14557,21.84296,-31.45752,-31.05011
14612,20.86792,-30.76782,-32.93915
14659,21.00067,-30.48248,-33.70819
14709,19.31152,-29.78821,-32.82318
14758,18.96973,-29.29230,-32.74536
14809,18.65692,-28.82233,-31.64825
14859,18.04199,-28.46527,-30.71136
14909,16.96472,-28.39508,-31.48499
14959,15.56091,-27.45819,-31.28204
15010,15.04822,-27.95258,-29.78210
15058,14.16779,-27.99988,-29.91180
15109,12.91199,-28.18451,-28.57361
15158,12.06360,-27.98615,-28.86200
15209,11.96136,-29.03595,-26.51367
15258,12.00409,-29.68903,-26.05286
15316,11.66687,-30.08423,-25.45013
15357,12.27875,-30.52368,-25.13123
15410,13.09052,-31.74286,-22.91870
15458,13.47656,-32.62634,-21.81396
15509,14.57977,-32.75146,-22.00928
15558,15.37628,-33.68530,-20.60242
15611,16.34521,-34.09271,-20.67871
15658,16.20026,-34.59930,-20.12482
15712,18.63251,-35.22186,-19.48547
15759,19.59991,-35.66742,-18.95599
15808,20.65887,-35.87341,-19.09637
15860,20.71533,-35.76050,-19.61670
15908,21.67816,-35.81543,-19.71741
15958,21.20361,-35.67810,-19.56024
16011,21.66595,-36.42120,-19.99817
16059,21.93756,-36.32507,-19.60449
16110,21.87653,-36.19690,-20.39642
16158,21.53625,-36.28235,-19.76776
16208,22.26868,-36.69891,-19.78302
16258,22.55096,-36.49597,-19.21234
16316,24.27979,-36.76300,-18.83392
16359,24.68567,-36.72791,-19.87762
16409,24.53156,-36.56616,-20.62073
16458,26.94092,-37.09259,-20.26520
16508,25.87280,-36.91711,-20.25909
16559,25.54474,-37.38861,-21.50269
16610,26.40686,-36.66840,-22.16034
16659,26.24969,-36.93085,-22.36481
16708,26.35345,-36.39221,-22.82410
16759,25.83618,-36.33118,-23.90900
16810,26.16425,-36.35712,-23.41766
16858,25.74310,-35.95123,-23.79150
16909,24.94354,-35.94055,-24.76349
16958,25.10834,-36.45630,-24.59717
17010,25.56000,-36.15417,-24.32251
17058,25.58289,-35.51483,-24.55292
17108,26.64642,-35.06622,-25.15717
17158,25.24567,-35.01892,-25.07782
17210,25.55389,-34.91516,-24.17755
17259,25.32654,-35.16388,-24.00818
17313,24.67957,-34.85565,-23.52753
