time,available,total
164,3196973056,6018187264
1177,3192635392,6018187264
2212,3189645312,6018187264
3214,3207458816,6018187264
4226,3205046272,6018187264
5225,3203375104,6018187264
6216,3202646016,6018187264
7227,3200741376,6018187264
8217,3199606784,6018187264
9264,3205332992,6018187264
10261,3202416640,6018187264
11264,3202617344,6018187264
12266,3201904640,6018187264
13272,3199582208,6018187264
14311,3197972480,6018187264
15316,3181944832,6018187264
16322,3168526336,6018187264
17314,3167084544,6018187264
18319,3169366016,6018187264
19312,3163734016,6018187264
20326,3169865728,6018187264
21364,3168088064,6018187264
22364,3165483008,6018187264
23366,3163828224,6018187264
24415,3161550848,6018187264
25426,3159506944,6018187264
26420,3157598208,6018187264
27415,3156692992,6018187264
28466,3163017216,6018187264
29461,3158831104,6018187264
30466,3156590592,6018187264
31466,3155558400,6018187264
32514,3154407424,6018187264
33567,3153977344,6018187264
34562,3150495744,6018187264
35569,3148431360,6018187264
36566,3147624448,6018187264
37616,3153641472,6018187264
38614,3152797696,6018187264
39664,3150561280,6018187264
40661,3160604672,6018187264
41711,3158720512,6018187264
42715,3159199744,6018187264
43770,3160010752,6018187264
44763,3158650880,6018187264
45767,3160866816,6018187264
46772,3168727040,6018187264
47771,3167539200,6018187264
48773,3162013696,6018187264
49823,3146436608,6018187264
50816,3154206720,6018187264
51876,3153309696,6018187264
52881,3171627008,6018187264
53883,3168419840,6018187264
54914,3165831168,6018187264
55963,3172139008,6018187264
56967,3170291712,6018187264
57977,3169312768,6018187264
58970,3148886016,6018187264
59976,3142987776,6018187264
60965,3140968448,6018187264
61970,3140136960,6018187264
62967,3138711552,6018187264
63973,3134816256,6018187264
64977,3141476352,6018187264
66021,3140603904,6018187264
67017,3139801088,6018187264
68024,3138306048,6018187264
69065,3135860736,6018187264
70066,3133276160,6018187264
71116,3131428864,6018187264
72112,3129475072,6018187264
73163,3128172544,6018187264
74162,3176501248,6018187264
75179,3174309888,6018187264
76222,3187380224,6018187264
77213,3180879872,6018187264
78223,3177623552,6018187264
79262,3175346176,6018187264
80264,3172880384,6018187264
81313,3171053568,6018187264
82371,3168555008,6018187264
83366,3166617600,6018187264
84367,3176841216,6018187264
85417,3175256064,6018187264
86413,3173568512,6018187264
87426,3172204544,6018187264
88462,3170168832,6018187264
89463,3166867456,6018187264
90464,3165327360,6018187264
91482,3171540992,6018187264
92464,3165134848,6018187264
93514,3191517184,6018187264
94520,3185033216,6018187264
95513,3181957120,6018187264
96515,3180212224,6018187264
97519,3177959424,6018187264
98517,3174903808,6018187264
99521,3172564992,6018187264
100516,3170283520,6018187264
101572,3167260672,6018187264
102569,3173224448,6018187264
103567,3171012608,6018187264
104565,3170611200,6018187264
105566,3203571712,6018187264
106572,3202555904,6018187264
107566,3200827392,6018187264
108572,3199180800,6018187264
109579,3257532416,6018187264
110617,3256152064,6018187264
111615,3262820352,6018187264
112631,3261849600,6018187264
113667,3259813888,6018187264
114665,3256623104,6018187264
115680,3254718464,6018187264
116716,3254419456,6018187264
117715,3255590912,6018187264
118721,3265314816,6018187264
119711,3262611456,6018187264
120721,3257167872,6018187264
121763,3256197120,6018187264
122767,3147460608,6018187264
123763,3176701952,6018187264
124784,3175542784,6018187264
125782,3174834176,6018187264
126784,3175092224,6018187264
127776,3187625984,6018187264
128827,3199565824,6018187264
129823,3198812160,6018187264
130821,3198816256,6018187264
131834,3198705664,6018187264
132828,3198767104,6018187264
133880,3198488576,6018187264
134878,3197956096,6018187264
135874,3196911616,6018187264
136923,3196727296,6018187264
137937,3196743680,6018187264
138972,3196125184,6018187264
139972,3195842560,6018187264
140971,3195285504,6018187264
141971,3193651200,6018187264
143016,3193270272,6018187264
144021,3177943040,6018187264
