time,x,y,z
35,2.20026,0.02969,10.47050
85,2.08984,0.11923,9.94902
135,2.05963,0.07584,9.76645
185,2.00955,0.05775,9.58723
234,1.97449,0.22827,9.44724
285,2.17828,0.03398,9.43506
335,2.17818,0.09927,9.42149
384,2.18484,0.44893,9.36647
435,2.38133,0.43059,9.34352
486,2.77147,-0.09743,9.19281
535,3.10263,-0.14543,9.30870
585,3.25972,-0.19916,9.46356
635,3.73917,0.15340,9.45279
685,4.32471,-0.87761,9.04614
735,3.86661,-0.84793,9.03725
785,3.77400,-0.64148,8.89934
842,3.83434,-0.56425,9.69632
885,4.07405,-1.42284,8.86151
935,3.59956,-1.16397,8.62730
985,2.85289,-1.20212,7.68346
1039,3.15565,-1.14798,9.01585
1085,1.97159,-0.64389,10.21964
1136,1.32996,-1.70795,8.25009
1186,3.52461,-1.06912,8.83110
1235,2.93634,-0.97313,11.15425
1285,0.92738,-2.21605,12.66151
1335,2.05933,-2.83733,8.84201
1386,0.76555,-2.86868,6.22466
1435,-0.27838,-0.65245,6.58913
1484,1.38176,-1.28015,9.28093
1535,5.38394,-1.14238,9.46877
1585,6.06194,-0.54358,9.55511
1634,4.40527,-1.78503,8.45317
1684,1.35254,-1.09027,8.10654
1735,2.14131,-1.16101,6.63673
1786,0.91093,0.55296,7.11520
1842,0.25464,-1.40053,10.27344
1885,1.77167,-0.05272,9.06339
1935,2.93678,-0.34352,10.05301
1985,0.60252,-2.04927,7.93736
2036,2.97597,0.99561,10.35713
2086,4.70082,-1.24767,14.35419
2135,-2.44788,-1.30659,10.59624
2186,2.68440,-1.39824,4.89555
2235,0.95622,-2.64453,10.91762
2285,2.09750,-2.67142,11.27959
2335,2.03928,-1.83763,9.70198
2385,-0.27176,-3.00943,9.11519
2438,-1.22409,-2.95787,8.42123
2484,0.39583,-0.26659,7.59714
2535,2.62389,-2.50937,11.60280
2586,-1.70494,-3.77075,14.80978
2635,3.84288,-1.32582,14.78935
2687,1.93846,-2.20383,11.46400
2736,0.30795,-2.75885,8.03026
2784,0.34631,0.23157,11.24609
2835,5.56847,-0.22028,6.32625
2892,4.84721,-0.98154,6.80779
2935,2.81154,0.20244,9.96867
2986,1.38522,0.45505,11.20847
3035,2.36365,-0.20770,10.37393
3086,3.70926,-3.06288,6.06036
3137,6.64157,0.53169,10.68884
3185,5.32324,-0.89613,10.06448
3235,3.12701,0.20160,7.08049
3285,0.48181,0.49147,9.44916
3336,1.90721,-1.45515,9.42197
3388,0.91399,-0.66093,4.47786
3436,1.01532,-1.81235,10.29741
3485,1.64186,-1.01006,13.30716
3535,-1.15823,-0.79471,8.44531
3586,0.43442,-0.76534,8.70477
3635,0.54190,-0.49541,8.72437
3685,-0.05309,-1.53679,9.55414
3737,4.62785,0.82939,7.82098
3785,-2.70781,1.43541,9.99352
3835,2.39720,-0.47809,8.07338
3885,2.09000,-1.51538,7.02998
3943,-0.47162,0.03262,7.59734
3985,3.11340,0.98068,3.58868
4037,-1.90771,2.06500,11.98651
4086,3.62694,0.44176,10.32919
4135,-0.87025,-0.05966,8.43263
4185,2.86475,0.30017,5.33609
4235,6.97169,1.89008,3.86603
4285,2.18108,0.45262,4.88031
4337,8.61034,2.10971,4.82713
4385,3.81685,1.76527,11.05487
4435,2.15056,1.27206,7.56068
4485,2.35658,0.82727,10.57932
4535,4.98979,-1.23248,8.10583
4588,4.89085,1.18523,12.96916
4636,0.47589,-1.25616,14.63303
4686,6.87265,0.37926,12.75406
4735,4.18130,0.15021,13.69099
4785,1.99210,1.54448,8.15327
4835,3.91190,2.44182,9.42209
4886,-2.86017,0.06201,9.79117
4941,-0.95538,1.08455,11.57748
4985,0.63208,0.33719,7.52753
5035,0.99768,-2.12563,10.22385
5085,1.86731,-0.91818,11.01070
5135,2.52029,0.42685,9.50691
5185,0.66382,-0.07111,9.02908
5235,1.70370,-1.23924,8.16023
5286,4.76767,1.78235,7.67673
5335,2.94029,-1.48157,7.24315
5385,-1.64586,-2.03987,6.22472
5436,-2.13358,-0.70976,12.33475
5485,4.11151,-1.14621,12.34683
5535,3.00702,-1.16409,4.97777
5585,0.91722,-0.33275,8.24527
5636,-0.74879,-1.30510,7.70656
5685,1.60120,0.69008,11.16322
5735,2.22545,0.25372,9.15430
5785,2.63293,0.93260,11.27029
5836,6.08031,0.57007,7.95068
5885,5.22354,0.34111,5.94939
5935,-0.31070,-0.72072,8.62022
5996,1.13406,-1.17543,5.32028
6034,7.79108,3.12462,6.79724
6085,2.72581,1.01775,5.99883
6136,3.46004,0.61742,7.69423
6185,-0.47571,-0.82536,8.32872
6235,1.49535,0.74113,11.72554
6285,3.08136,0.86449,9.51563
6336,6.87631,3.73235,11.67873
6385,6.02458,0.03276,4.53703
6436,2.45895,1.43213,8.04727
6485,0.69827,1.72339,9.40985
6536,7.00980,-1.03638,9.96928
6585,6.78658,-0.41487,4.62442
6635,2.48679,0.07477,9.90291
6685,0.84198,0.17636,4.07510
6735,2.69450,1.00108,6.36333
6786,2.15425,0.15820,6.17848
6836,-0.43396,-0.43600,12.70680
6887,4.68947,-0.02597,15.84457
6935,5.01724,0.19072,11.56757
6992,4.26956,0.92804,9.69989
7035,1.16528,0.75958,12.44119
7084,4.66248,1.40015,7.05292
7135,-0.86873,-0.83031,13.40596
7186,1.86250,0.45625,11.67567
7236,-0.31177,-1.10838,11.12502
7285,0.77443,-0.93900,11.14641
7335,1.22272,-1.45320,10.08299
7385,1.27957,-1.35286,12.80096
7435,3.70355,0.42630,9.87868
7485,-0.25818,-0.39082,9.83159
7535,1.04672,-0.26207,14.67186
7585,6.03564,-0.67534,8.33090
7635,3.96750,-0.15433,6.51349
7685,0.84140,-1.09933,11.70477
7737,6.62248,1.32838,3.61223
7785,-0.25133,-1.13727,10.68378
7835,3.30727,-1.07437,4.73820
7886,5.62869,0.08633,8.17268
7936,-0.59787,1.23099,9.33516
7991,2.00264,0.61490,11.06691
8034,4.50298,-0.82268,12.21281
8085,1.79442,1.28569,7.59492
8135,2.21664,1.73752,11.38562
8187,2.94133,0.95811,6.39407
8235,0.44080,-2.54655,9.56393
8285,4.54486,1.72348,6.40393
8336,0.20810,-0.00264,3.66066
8384,0.96854,-0.60306,3.18614
8436,2.00597,1.25549,3.29170
8485,2.55035,-0.19633,4.03241
8535,3.61533,-0.60599,16.98601
8585,2.88704,0.35892,14.19312
8636,0.76245,1.32149,13.62416
8686,-0.06030,2.01657,6.24925
8735,-0.01288,1.61380,4.64548
8785,7.54366,1.73351,9.44434
8835,4.92642,1.54311,10.88156
8885,0.74390,0.00272,8.39545
8936,2.40913,0.33807,1.36177
8989,6.93063,1.53145,8.18272
9038,4.38353,1.56831,8.92493
9084,6.01117,3.22128,11.02753
9135,4.22247,1.02626,3.64281
9187,1.01849,0.51793,9.07986
9236,4.78993,-0.19913,8.21078
9285,1.66043,-0.81415,9.75352
9335,3.12341,-0.37083,8.72504
9385,1.57458,0.19897,9.18723
9435,4.52596,-0.38492,10.96928
9485,4.41026,0.28250,12.33588
9535,4.78485,0.96985,9.17241
9586,4.05099,0.40129,7.19722
9636,3.38022,0.29549,4.58189
9685,-0.57130,-1.97874,11.33876
9735,3.89127,0.36722,11.32678
9785,-1.04080,-2.40582,12.63237
9835,3.57140,-0.40511,13.07217
9885,6.07036,0.84435,10.25122
9935,2.70366,-0.67151,11.88086
9991,4.44289,1.65013,9.02031
10035,0.10016,0.49606,1.72665
10084,-1.03302,-0.47322,10.16628
10135,4.93292,-1.61562,13.60303
10186,3.47305,0.13487,11.46385
10237,5.52216,0.32941,14.72826
10285,2.30026,0.99893,8.79439
10338,2.54524,0.26523,12.41441
10389,6.65594,2.60458,4.80707
10437,-1.06514,1.58592,8.86491
10485,0.17964,1.18173,8.75647
10535,3.38670,1.27997,5.06844
10585,0.75912,0.83824,9.81343
10635,3.03169,0.42099,13.64627
10685,7.61128,3.22655,15.00101
10735,1.51906,-1.14870,8.96355
10786,3.35562,-0.43523,9.29665
10837,4.95381,-0.63872,9.97444
10885,1.94647,-0.87921,6.14337
10935,1.27992,0.14772,10.48239
10995,2.24478,-1.19708,5.27036
11035,0.53358,-0.10963,13.01605
11085,5.09535,0.30513,7.46228
11135,3.11385,-0.95805,8.30011
11185,3.94885,-0.04617,5.96837
11236,4.90109,-0.18617,13.20268
11285,0.26280,-1.00351,14.27301
11335,0.98825,-1.69289,9.33308
11389,-0.27257,-1.22079,18.24821
11435,2.55402,-1.39648,6.72864
11485,0.98682,0.28896,5.95581
11535,-0.25639,-0.66927,9.85757
11585,-0.52081,0.62657,4.75789
11635,1.37566,-0.78802,8.01935
11687,-0.21085,-0.00652,7.48116
11735,1.98415,0.10300,7.57893
11785,5.05147,0.98492,7.59459
11836,3.01237,-2.10246,3.95255
11886,-3.44881,-0.54807,13.46844
11935,3.48035,0.25079,8.78577
11992,-1.82179,-0.08168,14.01691
12034,3.47078,-0.90569,14.56947
12084,2.90361,1.10001,11.17551
12136,-1.05139,-2.13153,8.50105
12185,1.27815,-0.45407,6.43854
12236,3.18282,1.13873,14.27798
12285,1.59177,0.71754,9.76654
12335,-2.57181,-0.61917,12.53848
12386,2.09299,0.26942,8.60886
12436,0.45157,1.59491,11.09790
12485,1.00592,0.81268,13.24069
12535,2.36520,0.44327,11.95578
12585,5.87520,1.44269,9.59270
12634,2.42053,0.77573,11.15793
12685,3.32722,1.16946,11.97047
12737,3.29941,-1.81337,11.04071
12792,2.23485,-2.22304,10.65146
12835,2.15691,-1.16174,11.41602
12885,-1.67506,-2.11328,13.40555
12935,-2.31511,-2.05925,6.01669
12998,-0.58685,0.05840,16.51898
13034,-1.86595,-1.00639,12.93182
13085,4.65114,0.02017,11.34003
13135,1.84583,-0.04482,7.68068
13185,5.12030,1.66612,6.90654
