time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
843,42,3734,35.3,-9223372036854775808,539000,0
1843,42,3734,35.3,-9223372036854775808,539000,0
2893,42,3734,35.3,-9223372036854775808,620000,0
3945,42,3734,35.3,-9223372036854775808,620000,0
4942,42,3734,35.3,-9223372036854775808,620000,0
6003,42,3734,35.3,-9223372036854775808,620000,0
6993,42,3734,35.3,-9223372036854775808,620000,0
7994,42,3734,35.3,-9223372036854775808,620000,0
8990,42,3734,35.3,-9223372036854775808,476000,0
9992,42,3734,35.3,-9223372036854775808,476000,0
10998,42,3734,35.3,-9223372036854775808,476000,0
11993,42,3734,35.3,-9223372036854775808,476000,0
13002,42,3734,35.3,-9223372036854775808,476000,0
14053,42,3734,35.3,-9223372036854775808,476000,0
15038,42,3734,35.3,-9223372036854775808,587000,0
16043,42,3734,35.3,-9223372036854775808,587000,0
17043,42,3734,35.3,-9223372036854775808,587000,0
18054,42,3734,35.3,-9223372036854775808,587000,0
19043,42,3734,35.3,-9223372036854775808,587000,0
20044,42,3734,35.3,-9223372036854775808,587000,0
21091,42,3734,35.3,-9223372036854775808,600000,0
22095,42,3734,35.3,-9223372036854775808,600000,0
23092,42,3734,35.3,-9223372036854775808,600000,0
24092,42,3734,35.3,-9223372036854775808,600000,0
25098,42,3734,35.3,-9223372036854775808,600000,0
26147,42,3734,35.3,-9223372036854775808,600000,0
27144,42,3734,35.3,-9223372036854775808,712000,0
28150,42,3734,35.3,-9223372036854775808,712000,0
29143,42,3734,35.3,-9223372036854775808,712000,0
30147,42,3734,35.3,-9223372036854775808,712000,0
31153,42,3734,35.3,-9223372036854775808,712000,0
32189,42,3734,35.3,-9223372036854775808,712000,0
33190,42,3734,35.3,-9223372036854775808,1056000,0
34190,42,3734,35.3,-9223372036854775808,1056000,0
35240,42,3734,35.3,-9223372036854775808,1056000,0
36241,42,3734,35.3,-9223372036854775808,1056000,0
37242,42,3734,35.3,-9223372036854775808,1056000,0
38251,42,3734,35.3,-9223372036854775808,1056000,0
39251,42,3734,35.3,-9223372036854775808,551000,0
40239,42,3734,35.3,-9223372036854775808,551000,0
41239,42,3734,35.3,-9223372036854775808,551000,0
42252,42,3734,35.3,-9223372036854775808,551000,0
43250,42,3734,35.3,-9223372036854775808,551000,0
44240,42,3734,35.3,-9223372036854775808,551000,0
45250,42,3734,35.3,-9223372036854775808,578000,0
46240,42,3734,35.3,-9223372036854775808,578000,0
47245,42,3734,35.3,-9223372036854775808,578000,0
48240,42,3734,35.3,-9223372036854775808,578000,0
49249,42,3734,35.3,-9223372036854775808,578000,0
50252,42,3734,35.3,-9223372036854775808,578000,0
51250,42,3734,35.3,-9223372036854775808,587000,0
52241,42,3734,35.3,-9223372036854775808,587000,0
53242,42,3734,35.3,-9223372036854775808,587000,0
54242,42,3734,35.3,-9223372036854775808,587000,0
55253,42,3734,35.3,-9223372036854775808,587000,0
56240,42,3734,35.3,-9223372036854775808,587000,0
57240,42,3734,35.3,-9223372036854775808,504000,0
58250,42,3734,35.3,-9223372036854775808,504000,0
59241,42,3734,35.3,-9223372036854775808,504000,0
60242,42,3734,35.3,-9223372036854775808,504000,0
61245,42,3734,35.3,-9223372036854775808,504000,0
62293,42,3734,35.3,-9223372036854775808,504000,0
63292,42,3734,35.3,-9223372036854775808,625000,0
64296,42,3734,35.3,-9223372036854775808,625000,0
65294,42,3734,35.3,-9223372036854775808,625000,0
66343,42,3734,35.3,-9223372036854775808,625000,0
67340,42,3734,35.3,-9223372036854775808,625000,0
68337,42,3734,35.3,-9223372036854775808,625000,0
69343,42,3734,35.3,-9223372036854775808,1418000,0
70399,42,3734,35.3,-9223372036854775808,1418000,0
71391,42,3734,35.3,-9223372036854775808,1418000,0
72394,42,3734,35.3,-9223372036854775808,1418000,0
73403,42,3734,35.3,-9223372036854775808,1418000,0
74441,42,3734,35.3,-9223372036854775808,1418000,0
75478,42,3734,35.3,-9223372036854775808,1301000,0
76491,42,3734,35.3,-9223372036854775808,1301000,0
77544,42,3734,35.3,-9223372036854775808,1301000,0
78539,42,3734,35.3,-9223372036854775808,1301000,0
79542,42,3734,35.3,-9223372036854775808,1301000,0
80597,42,3734,35.3,-9223372036854775808,1301000,0
81651,42,3734,35.3,-9223372036854775808,538000,0
82639,42,3734,35.3,-9223372036854775808,538000,0
83642,42,3734,35.3,-9223372036854775808,538000,0
84651,42,3734,35.3,-9223372036854775808,538000,0
85642,42,3734,35.3,-9223372036854775808,538000,0
86645,42,3734,35.3,-9223372036854775808,538000,0
87697,42,3734,35.3,-9223372036854775808,764000,0
88704,42,3734,35.3,-9223372036854775808,764000,0
89741,42,3734,35.3,-9223372036854775808,764000,0
90740,42,3734,35.3,-9223372036854775808,764000,0
91750,42,3734,35.3,-9223372036854775808,764000,0
92742,42,3734,35.3,-9223372036854775808,764000,0
93756,42,3734,35.3,-9223372036854775808,644000,0
94741,42,3734,35.3,-9223372036854775808,644000,0
95742,42,3734,35.3,-9223372036854775808,644000,0
96740,42,3734,35.3,-9223372036854775808,644000,0
97795,42,3734,35.3,-9223372036854775808,644000,0
98788,42,3734,35.3,-9223372036854775808,644000,0
99796,42,3734,35.3,-9223372036854775808,610000,0
100844,42,3734,35.3,-9223372036854775808,610000,0
101897,42,3734,35.3,-9223372036854775808,610000,0
102891,42,3734,35.3,-9223372036854775808,610000,0
103892,42,3734,35.3,-9223372036854775808,610000,0
104892,42,3734,35.3,-9223372036854775808,610000,0
105893,42,3734,35.3,-9223372036854775808,594000,0
106940,42,3734,35.3,-9223372036854775808,594000,0
107954,42,3734,35.3,-9223372036854775808,594000,0
108998,42,3734,35.3,-9223372036854775808,594000,0
110042,42,3734,35.3,-9223372036854775808,594000,0
111041,42,3734,35.3,-9223372036854775808,594000,0
112041,42,3734,35.3,-9223372036854775808,629000,0
113050,42,3734,35.3,-9223372036854775808,629000,0
114096,42,3734,35.3,-9223372036854775808,629000,0
115094,42,3734,35.3,-9223372036854775808,629000,0
116093,42,3734,35.3,-9223372036854775808,629000,0
117112,42,3734,35.3,-9223372036854775808,629000,0
118090,42,3734,35.3,-9223372036854775808,672000,0
119108,42,3734,35.3,-9223372036854775808,672000,0
120105,42,3734,35.3,-9223372036854775808,672000,0
121089,42,3734,35.3,-9223372036854775808,672000,0
122097,42,3735,33.5,-9223372036854775808,672000,0
123111,42,3735,33.5,-9223372036854775808,672000,0
124152,42,3735,33.5,-9223372036854775808,965000,0
125157,42,3735,33.5,-9223372036854775808,965000,0
126147,42,3735,33.5,-9223372036854775808,965000,0
127158,42,3735,33.5,-9223372036854775808,965000,0
128148,42,3735,33.5,-9223372036854775808,965000,0
129206,42,3735,33.5,-9223372036854775808,965000,0
130200,42,3735,33.5,-9223372036854775808,354000,0
131204,42,3735,33.5,-9223372036854775808,354000,0
132259,42,3735,33.5,-9223372036854775808,354000,0
133238,42,3735,33.5,-9223372036854775808,354000,0
134250,42,3735,33.5,-9223372036854775808,354000,0
135243,42,3735,33.5,-9223372036854775808,427000,0
136252,41,3754,33.2,-9223372036854775808,427000,0
137253,41,3754,33.2,-9223372036854775808,427000,0
138259,41,3754,33.2,-9223372036854775808,427000,0
139249,41,3754,33.2,-9223372036854775808,427000,0
140249,41,3754,33.2,-9223372036854775808,427000,0
141256,41,3754,33.2,-9223372036854775808,427000,0
142302,41,3754,33.2,-9223372036854775808,251000,0
143303,41,3754,33.2,-9223372036854775808,251000,0
144308,41,3754,33.2,-9223372036854775808,251000,0
145357,41,3754,33.2,-9223372036854775808,251000,0
146369,41,3754,33.2,-9223372036854775808,251000,0
147338,41,3754,33.2,-9223372036854775808,354000,0
148353,41,3754,33.2,-9223372036854775808,354000,0
149344,41,3754,33.2,-9223372036854775808,354000,0
150391,41,3754,33.2,-9223372036854775808,354000,0
151399,41,3754,33.2,-9223372036854775808,354000,0
152394,41,3754,33.2,-9223372036854775808,354000,0
153435,41,3754,33.2,-9223372036854775808,374000,0
154411,41,3737,32.8,-9223372036854775808,374000,0
155414,41,3737,32.8,-9223372036854775808,374000,0
156393,41,3737,32.8,-9223372036854775808,374000,0
157442,41,3737,32.8,-9223372036854775808,374000,0
