time,azimuth
35,-42
86,-42
135,-43
186,-43
235,-42
286,-43
335,-43
386,-42
437,-44
486,-46
536,-46
585,-47
635,-49
685,-49
736,-48
785,-50
842,-50
885,-54
936,-52
985,-54
1040,-53
1085,-53
1137,-58
1188,-49
1236,-57
1286,-62
1337,-63
1389,-64
1435,-55
1485,-57
1536,-57
1586,-62
1635,-59
1686,-59
1737,-57
1786,-67
1843,-69
1885,-65
1936,-59
1985,-72
2037,-45
2087,-77
2136,-85
2187,-77
2236,-62
2285,-76
2335,-72
2386,-58
2439,-85
2485,-69
2537,-69
2586,-79
2635,-74
2689,-74
2736,-70
2785,-70
2835,-55
2893,-70
2935,-67
2987,-65
3037,-64
3086,-72
3138,-69
3186,-61
3238,-69
3285,-53
3336,-67
3391,-59
3437,-61
3486,-62
3536,-71
3587,-65
3636,-60
3686,-66
3738,-64
3786,-55
3835,-57
3886,-49
3944,-61
3986,-61
4038,-41
4087,-52
4136,-39
4188,-58
4236,-59
4286,-41
4339,-64
4387,-36
4435,-52
4485,-58
4535,-55
4589,-69
4638,-63
4689,-51
4735,-53
4785,-46
4836,-62
4889,-45
4942,-65
4985,-53
5035,-49
5085,-59
5136,-59
5185,-53
5236,-63
5287,-64
5336,-67
5386,-41
5437,-70
5485,-69
5536,-56
5585,-60
5637,-59
5687,-55
5736,-53
5788,-53
5838,-45
5889,-53
5935,-49
6002,-50
6035,-56
6085,-42
6137,-50
6186,-50
6235,-58
6286,-50
6338,-53
6385,-55
6436,-51
6485,-55
6537,-71
6586,-82
6636,-35
6686,-60
6736,-51
6788,-58
6837,-61
6887,-52
6936,-55
6992,-40
7036,-49
7085,-40
7137,-54
7188,-51
7239,-51
7285,-52
7336,-59
7387,-56
7436,-55
7485,-48
7535,-61
7585,-52
7636,-64
7687,-56
7739,-46
7786,-54
7836,-54
7887,-54
7937,-55
7991,-61
8035,-59
8087,-55
8138,-55
8188,-41
8236,-64
8285,-47
8336,-56
8385,-46
8437,-47
8486,-49
8536,-49
8585,-50
8637,-59
8687,-54
8736,-55
8786,-50
8836,-44
8888,-23
