time,USER,SYSTEM,IOW,IRQ
843,-1,-1,-1,-1
1843,-1,-1,-1,-1
2893,-1,-1,-1,-1
3945,-1,-1,-1,-1
4942,-1,-1,-1,-1
6003,-1,-1,-1,-1
6993,-1,-1,-1,-1
7994,-1,-1,-1,-1
8990,-1,-1,-1,-1
9992,-1,-1,-1,-1
10998,-1,-1,-1,-1
11993,-1,-1,-1,-1
13003,-1,-1,-1,-1
14053,-1,-1,-1,-1
15038,-1,-1,-1,-1
16043,-1,-1,-1,-1
17043,-1,-1,-1,-1
18054,-1,-1,-1,-1
19043,-1,-1,-1,-1
20044,-1,-1,-1,-1
21091,-1,-1,-1,-1
22095,-1,-1,-1,-1
23092,-1,-1,-1,-1
24092,-1,-1,-1,-1
25098,-1,-1,-1,-1
26148,-1,-1,-1,-1
27145,-1,-1,-1,-1
28150,-1,-1,-1,-1
29144,-1,-1,-1,-1
30147,-1,-1,-1,-1
31156,-1,-1,-1,-1
32189,-1,-1,-1,-1
33190,-1,-1,-1,-1
34190,-1,-1,-1,-1
35240,-1,-1,-1,-1
36241,-1,-1,-1,-1
37244,-1,-1,-1,-1
38252,-1,-1,-1,-1
39251,-1,-1,-1,-1
40239,-1,-1,-1,-1
41239,-1,-1,-1,-1
42252,-1,-1,-1,-1
43251,-1,-1,-1,-1
44240,-1,-1,-1,-1
45251,-1,-1,-1,-1
46240,-1,-1,-1,-1
47245,-1,-1,-1,-1
48240,-1,-1,-1,-1
49249,-1,-1,-1,-1
50252,-1,-1,-1,-1
51250,-1,-1,-1,-1
52241,-1,-1,-1,-1
53242,-1,-1,-1,-1
54242,-1,-1,-1,-1
55253,-1,-1,-1,-1
56240,-1,-1,-1,-1
57240,-1,-1,-1,-1
58250,-1,-1,-1,-1
59241,-1,-1,-1,-1
60242,-1,-1,-1,-1
61245,-1,-1,-1,-1
62293,-1,-1,-1,-1
63293,-1,-1,-1,-1
64296,-1,-1,-1,-1
65294,-1,-1,-1,-1
66343,-1,-1,-1,-1
67340,-1,-1,-1,-1
68337,-1,-1,-1,-1
69343,-1,-1,-1,-1
70399,-1,-1,-1,-1
71391,-1,-1,-1,-1
72394,-1,-1,-1,-1
73403,-1,-1,-1,-1
74441,-1,-1,-1,-1
75478,-1,-1,-1,-1
76492,-1,-1,-1,-1
77545,-1,-1,-1,-1
78539,-1,-1,-1,-1
79542,-1,-1,-1,-1
80597,-1,-1,-1,-1
81652,-1,-1,-1,-1
82639,-1,-1,-1,-1
83642,-1,-1,-1,-1
84651,-1,-1,-1,-1
85642,-1,-1,-1,-1
86645,-1,-1,-1,-1
87697,-1,-1,-1,-1
88705,-1,-1,-1,-1
89741,-1,-1,-1,-1
90740,-1,-1,-1,-1
91751,-1,-1,-1,-1
92742,-1,-1,-1,-1
93757,-1,-1,-1,-1
94741,-1,-1,-1,-1
95743,-1,-1,-1,-1
96740,-1,-1,-1,-1
97796,-1,-1,-1,-1
98788,-1,-1,-1,-1
99796,-1,-1,-1,-1
100844,-1,-1,-1,-1
101899,-1,-1,-1,-1
102891,-1,-1,-1,-1
103892,-1,-1,-1,-1
104892,-1,-1,-1,-1
105894,-1,-1,-1,-1
106940,-1,-1,-1,-1
107954,-1,-1,-1,-1
108999,-1,-1,-1,-1
110042,-1,-1,-1,-1
111041,-1,-1,-1,-1
112041,-1,-1,-1,-1
113050,-1,-1,-1,-1
114096,-1,-1,-1,-1
115094,-1,-1,-1,-1
116094,-1,-1,-1,-1
117112,-1,-1,-1,-1
118090,-1,-1,-1,-1
119109,-1,-1,-1,-1
120105,-1,-1,-1,-1
121089,-1,-1,-1,-1
122097,-1,-1,-1,-1
123112,-1,-1,-1,-1
124152,-1,-1,-1,-1
125158,-1,-1,-1,-1
126147,-1,-1,-1,-1
127159,-1,-1,-1,-1
128148,-1,-1,-1,-1
129206,-1,-1,-1,-1
130200,-1,-1,-1,-1
131204,-1,-1,-1,-1
132260,-1,-1,-1,-1
133238,-1,-1,-1,-1
134250,-1,-1,-1,-1
135243,-1,-1,-1,-1
136252,-1,-1,-1,-1
137253,-1,-1,-1,-1
138260,-1,-1,-1,-1
139250,-1,-1,-1,-1
140250,-1,-1,-1,-1
141256,-1,-1,-1,-1
142302,-1,-1,-1,-1
143303,-1,-1,-1,-1
144308,-1,-1,-1,-1
145357,-1,-1,-1,-1
146369,-1,-1,-1,-1
147338,-1,-1,-1,-1
148353,-1,-1,-1,-1
149345,-1,-1,-1,-1
150391,-1,-1,-1,-1
151399,-1,-1,-1,-1
152394,-1,-1,-1,-1
153435,-1,-1,-1,-1
154411,-1,-1,-1,-1
155414,-1,-1,-1,-1
156393,-1,-1,-1,-1
157442,-1,-1,-1,-1
