time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
843,22.32109290,87.30822760,10,-3.00000,0.00000,35,21
1843,22.32109240,87.30822790,10,-3.00000,0.00000,35,20
2893,22.32109210,87.30822760,10,-3.00000,0.00000,35,18
3945,22.32109180,87.30822710,10,-3.00000,0.00000,35,19
4942,22.32108760,87.30820830,10,-5.00000,1.65000,35,20
6003,22.32108020,87.30819190,10,-6.00000,1.55000,35,20
6993,22.32106610,87.30816240,10,-6.00000,1.97000,35,20
7994,22.32105830,87.30813820,10,-7.00000,1.84000,35,20
8990,22.32106040,87.30810830,10,-6.00000,2.59000,35,21
9992,22.32105950,87.30808870,10,-7.00000,2.08000,35,22
10997,22.32105390,87.30806360,10,-7.00000,2.70000,35,22
11992,22.32105380,87.30804520,10,-7.00000,2.25000,35,22
12999,22.32105260,87.30801860,10,-10.00000,2.69000,35,23
14053,22.32105070,87.30799570,10,-11.00000,2.28000,35,23
15038,22.32104830,87.30797310,10,-11.00000,2.28000,35,23
16042,22.32104590,87.30794350,10,-10.00000,3.23000,35,23
17042,22.32104260,87.30791600,10,-10.00000,2.23000,35,23
18053,22.32103750,87.30789020,10,-11.00000,2.68000,20,16
19042,22.32103380,87.30786260,10,-11.00000,2.68000,20,16
20043,22.32103270,87.30782860,10,-12.00000,3.15000,17,13
21091,22.32103490,87.30779360,11,-12.00000,3.15000,17,13
22094,22.32103880,87.30776340,11,-12.00000,2.66000,33,21
23092,22.32104120,87.30773480,11,-12.00000,2.82000,34,18
24092,22.32104270,87.30770690,11,-12.00000,2.58000,34,14
25098,22.32104120,87.30768020,11,-12.00000,2.49000,35,14
26147,22.32104070,87.30765320,11,-12.00000,2.82000,35,13
27144,22.32104360,87.30762670,11,-12.00000,2.71000,35,14
28150,22.32104810,87.30759910,11,-11.00000,2.91000,35,14
29143,22.32105320,87.30756680,11,-11.00000,3.26000,35,15
30146,22.32105370,87.30753470,10,-12.00000,3.18000,35,16
31153,22.32105190,87.30749960,11,-12.00000,3.51000,35,16
32189,22.32104510,87.30746350,11,-13.00000,3.24000,35,16
33190,22.32103750,87.30742660,11,-12.00000,3.57000,35,16
34189,22.32103360,87.30738950,11,-12.00000,3.29000,35,16
35240,22.32103140,87.30735680,10,-13.00000,2.94000,35,16
36241,22.32103380,87.30732780,11,-14.00000,2.75000,35,16
37241,22.32103320,87.30729720,11,-11.00000,2.77000,35,15
38251,22.32102920,87.30726690,11,-12.00000,2.41000,35,15
39251,22.32101810,87.30724410,11,-12.00000,2.32000,35,15
40239,22.32101030,87.30722350,11,-12.00000,1.97000,35,15
41239,22.32099250,87.30721120,11,-12.00000,2.34000,35,15
42252,22.32097030,87.30720520,11,-11.00000,2.25000,35,14
43246,22.32095170,87.30720470,11,-11.00000,1.90000,35,14
44240,22.32093380,87.30720600,11,-11.00000,2.19000,35,14
45250,22.32091200,87.30720700,12,-13.00000,2.32000,35,15
46240,22.32088890,87.30720750,11,-14.00000,2.22000,35,15
47245,22.32086090,87.30721010,11,-14.00000,2.65000,35,16
48239,22.32082950,87.30721470,11,-15.00000,3.44000,35,18
49249,22.32079320,87.30722460,11,-15.00000,3.89000,35,18
50245,22.32075320,87.30723110,11,-16.00000,3.84000,35,18
51249,22.32071580,87.30723740,11,-15.00000,3.79000,35,18
52241,22.32067150,87.30723850,11,-16.00000,4.25000,35,16
53242,22.32062690,87.30723890,11,-17.00000,4.26000,35,16
54242,22.32058330,87.30724040,12,-16.00000,4.25000,35,14
55252,22.32054070,87.30723690,11,-16.00000,4.10000,35,11
56240,22.32049320,87.30723100,11,-16.00000,4.59000,35,11
57240,22.32044890,87.30722740,11,-16.00000,4.16000,35,11
58249,22.32040560,87.30722440,11,-17.00000,4.52000,35,12
59241,22.32033400,87.30721940,11,-16.00000,5.06000,35,12
60242,22.32028800,87.30722120,11,-18.00000,5.04000,35,12
61244,22.32024680,87.30720700,11,-17.00000,5.13000,35,13
62292,22.32023320,87.30724060,11,-19.00000,3.97000,35,12
63292,22.32018630,87.30727070,11,-19.00000,4.56000,35,12
64295,22.32015300,87.30730140,11,-19.00000,4.80000,35,12
65293,22.32012430,87.30730600,11,-18.00000,4.10000,35,12
66342,22.32008900,87.30730330,11,-18.00000,4.05000,35,14
67340,22.32005670,87.30730720,11,-17.00000,3.91000,35,15
68337,22.32002480,87.30729140,6,-17.00000,3.55000,35,15
69343,22.32000480,87.30727540,4,-16.00000,1.17000,35,17
70398,22.31999760,87.30726830,4,-16.00000,0.00000,36,17
71391,22.31998720,87.30726220,4,-16.00000,1.45000,36,17
72393,22.31994220,87.30724520,4,-16.00000,2.60000,36,17
73402,22.31988410,87.30723360,5,-13.00000,2.53000,36,18
74441,22.31987490,87.30723680,5,-12.00000,2.35000,36,19
75478,22.31985580,87.30726520,4,-12.00000,2.26000,36,20
76491,22.31982650,87.30729080,6,-11.00000,1.72000,36,19
77544,22.31979110,87.30729430,8,-10.00000,2.16000,36,20
78539,22.31982680,87.30734560,5,-10.00000,3.16000,36,20
79540,22.31982530,87.30738110,5,-9.00000,2.79000,36,20
80597,22.31983070,87.30741180,5,-9.00000,2.92000,36,20
81651,22.31983060,87.30746010,5,-8.00000,3.38000,36,20
82639,22.31982730,87.30752160,5,-9.00000,3.90000,36,20
83642,22.31984000,87.30754830,4,-11.00000,3.19000,36,21
84650,22.31982560,87.30760950,4,-10.00000,4.11000,36,21
85642,22.31981320,87.30764830,5,-11.00000,4.05000,36,20
86644,22.31982050,87.30768680,4,-9.00000,4.40000,36,20
87697,22.31983440,87.30771880,4,-9.00000,4.03000,24,18
88702,22.31984240,87.30775510,5,-9.00000,4.03000,24,18
89741,22.31984920,87.30777740,5,-10.00000,3.85000,24,18
90740,22.31985420,87.30781450,5,-10.00000,3.85000,24,18
91750,22.31986440,87.30785090,8,-10.00000,3.84000,13,8
92741,22.31987160,87.30788720,8,-9.00000,3.80000,34,20
93749,22.31986950,87.30792030,9,-10.00000,3.55000,34,14
94740,22.31987380,87.30796400,6,-9.00000,4.39000,34,15
95742,22.31988040,87.30800360,8,-9.00000,4.19000,34,15
96739,22.31988840,87.30803370,5,-9.00000,2.60000,34,17
97795,22.31989060,87.30806080,5,-9.00000,2.78000,34,17
98787,22.31989560,87.30810190,5,-9.00000,3.64000,34,17
99795,22.31989830,87.30814310,5,-10.00000,3.59000,34,17
100844,22.31989860,87.30818550,6,-11.00000,3.83000,34,17
101896,22.31989230,87.30820850,5,-11.00000,2.62000,34,17
102891,22.31989590,87.30823240,5,-11.00000,1.83000,34,17
103891,22.31989470,87.30825820,4,-11.00000,1.84000,35,17
104892,22.31988670,87.30829000,4,-12.00000,1.82000,35,18
105893,22.31986560,87.30835810,5,-11.00000,3.71000,35,18
106940,22.31987370,87.30840340,4,-11.00000,3.62000,35,18
107951,22.31986190,87.30845100,5,-10.00000,3.83000,35,18
108998,22.31986580,87.30850190,4,-10.00000,3.80000,35,12
110042,22.31986530,87.30855470,4,-10.00000,3.78000,35,15
111041,22.31989000,87.30861120,4,-11.00000,4.18000,35,15
112040,22.31991480,87.30864850,5,-12.00000,4.25000,35,15
113047,22.31994710,87.30868370,5,-12.00000,4.44000,35,15
114093,22.31997970,87.30870350,4,-12.00000,4.37000,35,15
115094,22.32001000,87.30874420,4,-12.00000,4.00000,35,15
116093,22.32004710,87.30876970,4,-12.00000,3.96000,35,16
117111,22.32007090,87.30877800,4,-12.00000,3.51000,35,16
118090,22.32009510,87.30879270,4,-9.00000,3.25000,35,15
119106,22.32012700,87.30880420,4,-9.00000,3.51000,35,16
120103,22.32015740,87.30881460,5,-9.00000,3.38000,35,17
121089,22.32018660,87.30882750,5,-8.00000,3.43000,35,17
122097,22.32021130,87.30883950,6,-9.00000,3.18000,35,18
123111,22.32023730,87.30885780,6,-9.00000,3.31000,35,17
124152,22.32026400,87.30887380,8,-10.00000,3.20000,35,17
125155,22.32030770,87.30889560,6,-10.00000,4.21000,35,17
126147,22.32035430,87.30891740,6,-11.00000,4.23000,35,17
127158,22.32039650,87.30893510,6,-11.00000,4.05000,35,17
128148,22.32044350,87.30894930,5,-12.00000,3.90000,35,16
129206,22.32048760,87.30895810,5,-13.00000,3.55000,35,16
130199,22.32051970,87.30896590,6,-12.00000,2.75000,35,15
131204,22.32053870,87.30896200,5,-12.00000,2.40000,35,16
132258,22.32056860,87.30896250,5,-10.00000,2.88000,30,12
133238,22.32058210,87.30894190,6,-10.00000,2.87000,30,12
134250,22.32061930,87.30894510,8,-10.00000,3.26000,31,14
135243,22.32063050,87.30891430,8,-9.00000,3.30000,34,17
136251,22.32065940,87.30885840,9,-11.00000,4.31000,34,16
137252,22.32067300,87.30881570,8,-10.00000,4.08000,34,17
138259,22.32069750,87.30877010,8,-10.00000,4.45000,34,17
139249,22.32072930,87.30872720,6,-9.00000,4.61000,34,16
140249,22.32076020,87.30868560,6,-9.00000,4.58000,34,16
141256,22.32082880,87.30861610,8,-9.00000,5.47000,35,16
142302,22.32087130,87.30857520,9,-9.00000,5.48000,35,16
143302,22.32089620,87.30850170,9,-9.00000,5.61000,35,16
144307,22.32089490,87.30851210,6,-10.00000,2.69000,35,16
145357,22.32093870,87.30847990,5,-10.00000,3.45000,35,16
146369,22.32094470,87.30842620,6,-11.00000,3.80000,35,16
147338,22.32096630,87.30838760,5,-11.00000,3.98000,35,16
148353,22.32097990,87.30836340,4,-12.00000,3.71000,35,16
149344,22.32100500,87.30832460,4,-13.00000,3.22000,35,16
150391,22.32102460,87.30830000,4,-13.00000,3.19000,35,16
151399,22.32103800,87.30828840,4,-12.00000,2.55000,36,16
152394,22.32106130,87.30828020,4,-12.00000,2.20000,36,17
153435,22.32107190,87.30825350,4,-10.00000,0.26000,35,16
154411,22.32107800,87.30824540,4,-11.00000,0.00000,34,15
155414,22.32107780,87.30824490,4,-12.00000,0.00000,34,15
156392,22.32107550,87.30824840,4,-12.00000,0.00000,31,13
157442,22.32107320,87.30825160,4,-13.00000,0.00000,32,14
