time,x,y,z
35,-0.25909,-0.31133,0.00862
86,-0.11876,-0.14497,0.00758
135,-0.02827,-0.04893,0.02005
185,-0.01697,-0.03937,0.05769
235,0.00180,-0.01360,0.13860
286,0.00009,-0.00032,0.25163
335,-0.00821,-0.01335,0.34628
386,-0.00838,-0.00229,0.47711
435,-0.03444,0.01039,0.57874
486,-0.08591,0.00327,0.69524
535,-0.11186,-0.00114,0.73895
585,-0.10422,0.01221,0.72606
635,-0.05057,0.04126,0.65433
685,-0.10686,0.00941,0.56523
736,-0.11363,0.03555,0.45248
785,-0.14583,-0.06154,0.45264
842,-0.05435,0.05090,0.43437
885,0.00011,0.11543,0.48616
936,-0.00121,0.07744,0.41969
985,-0.10590,-0.02049,0.36946
1039,-0.29614,-0.18515,0.32706
1085,-0.06844,-0.01999,0.20857
1136,0.04283,0.09068,0.22856
1187,0.13011,0.12543,0.04822
1235,0.19225,0.13586,0.27225
1286,-0.20421,-0.22850,0.65401
1337,-0.26854,-0.45531,0.60713
1389,0.10803,-0.05302,0.06580
1435,0.27310,0.02187,-0.85268
1485,0.50452,0.36746,-0.89943
1536,0.09361,0.01039,-0.54567
1586,-0.18013,-0.20538,-0.07118
1635,-0.03940,0.02490,0.41968
1685,0.11510,0.32428,0.93590
1736,0.45959,0.70044,1.11923
1786,0.33015,0.48805,1.29010
1843,0.62140,0.74013,1.14984
1885,0.59602,0.59052,1.00240
1936,0.48253,0.33723,0.75998
1985,0.17720,-0.01610,0.50961
2037,0.17856,-0.07486,0.10152
2086,-1.22310,-1.72418,0.38374
2135,-0.06351,-0.30214,-0.02083
2187,0.58389,0.62617,-0.03876
2235,0.72415,0.48032,-0.05939
2285,-0.21671,-0.50488,-0.30894
2335,-0.24500,-0.45499,-0.40614
2386,-0.13707,-0.24290,-0.13605
2439,0.20563,0.18242,-0.04567
2484,0.13448,-0.06171,-0.18294
2536,0.18816,0.09929,0.11644
2586,0.11079,-0.08284,0.20518
2635,0.50919,0.35884,-0.02231
2688,0.52596,0.33244,-0.35266
2736,0.52382,0.39566,-0.37244
2785,0.46117,0.33942,-0.25928
2835,0.17397,0.10643,-0.19040
2892,-0.01678,-0.10004,-0.15047
2935,0.08803,0.05298,-0.00780
2986,0.12616,0.07072,0.17554
3036,-0.03435,-0.10703,0.23959
3086,-0.05522,-0.19962,0.05226
3137,-0.03003,-0.09125,-0.01958
3185,0.10017,-0.00194,-0.17810
3236,-0.12294,-0.22586,-0.26677
3285,-0.02460,-0.22253,-0.24234
3336,0.30765,0.16785,-0.04111
3390,0.23750,0.03426,-0.20540
3436,0.42180,0.19479,-0.31322
3486,-0.00838,-0.23528,-0.65439
3536,0.32730,0.12442,-0.66985
3587,0.69991,0.51454,-0.75316
3636,0.66534,0.64511,-0.39310
3685,0.07915,0.04257,-0.31215
3737,-0.10339,-0.04738,-0.21953
3785,0.24281,0.20325,-0.33217
3835,0.08690,0.08633,-0.40565
3886,-0.02429,-0.12997,-0.53429
3944,0.02498,-0.03279,-0.57327
3985,-0.00073,-0.04187,-0.32146
4037,-0.58752,-0.69266,-0.09439
4087,-0.16238,-0.03937,0.52592
4135,-0.28465,-0.21542,0.60350
4187,-0.73260,-0.67540,0.33116
4236,-0.49979,-0.48810,-0.06615
4286,-0.88226,-1.04868,-0.03101
4338,-0.63954,-0.60722,0.11610
4386,-0.38918,-0.31271,0.50340
4435,0.18768,0.28833,0.37688
4485,0.08020,0.11714,0.29999
4535,0.15250,0.04436,-0.18839
4589,-0.44856,-0.53711,-0.47079
4637,0.23936,0.04730,-0.69594
4688,-0.38391,-0.55125,-0.80847
4735,-0.32916,-0.30557,-0.50966
4785,-0.66898,-0.69429,-0.38469
4836,-0.20450,0.08180,-0.16658
4888,-0.17671,-0.04865,0.20274
4942,0.06023,0.24918,0.31259
4985,0.13651,0.36406,0.40080
5035,-0.26514,-0.18188,0.66574
5085,-0.14944,0.00102,0.59991
5136,-0.40031,-0.27383,0.44434
5185,-0.39912,-0.42615,0.42992
5236,-0.34387,-0.39833,0.30208
5287,-0.14307,-0.28787,0.15678
5336,0.10631,-0.07123,-0.03909
5386,-0.08075,-0.51567,-0.29573
5437,0.00580,-0.24112,-0.41557
5485,0.46834,0.33682,-0.32617
5536,0.24409,0.08069,-0.61647
5585,0.12283,-0.01227,-0.78365
