time,lx
35,1978.00000
86,1978.00000
135,1978.00000
186,1978.00000
235,1958.00000
286,1958.00000
335,1958.00000
386,1958.00000
437,1943.00000
486,1943.00000
536,1943.00000
585,1943.00000
635,1875.00000
685,1875.00000
736,1875.00000
785,1875.00000
842,1765.00000
885,1765.00000
936,1765.00000
985,1765.00000
1039,1789.00000
1085,1789.00000
1136,1789.00000
1187,1789.00000
1235,1908.00000
1286,1908.00000
1337,1908.00000
1389,1908.00000
1435,2004.00000
1485,2004.00000
1536,2004.00000
1586,2004.00000
1635,1949.00000
1685,1949.00000
1737,1949.00000
1786,1949.00000
1843,2072.00000
1885,2072.00000
1936,2072.00000
1985,2072.00000
2037,2378.00000
2086,2378.00000
2135,2378.00000
2187,2378.00000
2236,2451.00000
2285,2451.00000
2335,2451.00000
2386,2451.00000
2439,2486.00000
2485,2486.00000
2536,2486.00000
2586,2486.00000
2635,2535.00000
2688,2535.00000
2736,2535.00000
2785,2535.00000
2835,2509.00000
2893,2509.00000
2935,2509.00000
2986,2509.00000
3037,2480.00000
3086,2480.00000
3137,2480.00000
3186,2480.00000
3238,2443.00000
3285,2443.00000
3336,2443.00000
3390,2443.00000
3437,2384.00000
3486,2384.00000
3536,2384.00000
3587,2384.00000
3636,2312.00000
3686,2312.00000
3738,2312.00000
3785,2312.00000
3835,2277.00000
3886,2277.00000
3944,2277.00000
3986,2277.00000
4038,2221.00000
4087,2221.00000
4136,2221.00000
4188,2221.00000
4236,2257.00000
4286,2257.00000
4338,2257.00000
4387,2257.00000
4435,2458.00000
4485,2458.00000
4535,2458.00000
4589,2458.00000
4638,2578.00000
4689,2578.00000
4735,2578.00000
4785,2578.00000
4836,2431.00000
4889,2431.00000
4942,2431.00000
4985,2431.00000
5035,2404.00000
5085,2404.00000
5136,2404.00000
5185,2404.00000
5236,2592.00000
5287,2592.00000
5336,2592.00000
5386,2592.00000
5437,2613.00000
5485,2613.00000
5536,2613.00000
5585,2613.00000
5636,2364.00000
5687,2364.00000
5736,2364.00000
5786,2364.00000
5837,1996.00000
5886,1996.00000
5935,1996.00000
6002,1996.00000
6035,1848.00000
6085,1848.00000
6137,1848.00000
6186,1848.00000
6235,1756.00000
6286,1756.00000
6337,1756.00000
6385,1756.00000
6436,1838.00000
6485,1838.00000
6537,1838.00000
6586,1838.00000
6636,1811.00000
6686,1811.00000
6736,1811.00000
6788,1811.00000
6836,1600.00000
6887,1600.00000
6936,1600.00000
6992,1600.00000
7036,1442.00000
7085,1442.00000
7137,1442.00000
7188,1442.00000
7239,1490.00000
7285,1490.00000
7336,1490.00000
7387,1490.00000
7436,1679.00000
7485,1679.00000
7535,1679.00000
7585,1679.00000
7636,1708.00000
7687,1708.00000
7738,1708.00000
7786,1708.00000
7836,1722.00000
7887,1722.00000
7937,1722.00000
7991,1722.00000
8035,1779.00000
8086,1779.00000
8137,1779.00000
8188,1779.00000
8236,1952.00000
8285,1952.00000
8336,1952.00000
8385,1952.00000
8437,2091.00000
8486,2091.00000
8536,2091.00000
8585,2091.00000
8637,2125.00000
8687,2125.00000
8736,2125.00000
8785,2125.00000
8836,2178.00000
8888,2178.00000
8936,2178.00000
8989,2178.00000
9038,2216.00000
9085,2216.00000
9136,2216.00000
9188,2216.00000
9237,2423.00000
9288,2423.00000
9335,2423.00000
9387,2423.00000
9436,2595.00000
9486,2595.00000
9535,2595.00000
9588,2595.00000
9636,2632.00000
9685,2632.00000
9735,2632.00000
9785,2632.00000
9836,2682.00000
9886,2682.00000
9935,2682.00000
9992,2682.00000
10035,2682.00000
10085,2654.00000
10136,2654.00000
10186,2654.00000
10237,2654.00000
10286,2614.00000
10339,2614.00000
10391,2614.00000
10437,2614.00000
10486,2480.00000
10535,2480.00000
10585,2480.00000
10635,2480.00000
10686,2443.00000
10736,2443.00000
10790,2443.00000
10838,2443.00000
10885,2503.00000
10935,2503.00000
10996,2503.00000
11035,2503.00000
11085,2354.00000
11135,2354.00000
11186,2354.00000
11237,2354.00000
11286,2157.00000
11336,2157.00000
11389,2157.00000
11436,2157.00000
11485,1957.00000
11536,1957.00000
11586,1957.00000
11635,1957.00000
11688,1711.00000
11735,1711.00000
11785,1711.00000
11837,1711.00000
11887,1505.00000
11936,1505.00000
11992,1505.00000
12035,1505.00000
12085,1346.00000
12136,1346.00000
12186,1346.00000
12237,1346.00000
12286,1254.00000
12335,1254.00000
12387,1254.00000
