time,x,y,z
35,32.36084,-34.14154,-27.69318
85,30.89905,-33.61816,-28.33710
135,31.38580,-34.19495,-27.12097
185,32.51343,-34.61304,-26.37177
235,32.07397,-33.91571,-28.24707
286,31.30493,-34.32922,-26.27411
335,30.58167,-33.99200,-27.45819
385,30.06744,-33.97827,-27.19727
435,29.37317,-34.83124,-26.26190
486,27.66571,-34.03625,-27.55890
535,27.17743,-34.16443,-26.31683
585,26.14899,-33.70667,-27.02942
635,22.97974,-33.12836,-27.80609
685,24.31793,-33.71277,-26.22528
735,23.41919,-33.39844,-26.51825
785,21.80634,-32.75757,-27.20795
842,21.50269,-32.75452,-26.72729
885,19.77692,-32.06024,-28.29285
936,20.09277,-32.23114,-27.97546
985,19.74792,-32.23877,-26.75171
1039,19.27338,-31.79321,-26.52283
1085,18.62793,-31.36444,-27.30103
1136,18.24341,-31.25610,-27.88849
1186,18.22968,-31.09283,-27.38953
1235,17.56897,-30.84869,-27.73743
1286,17.20734,-30.44891,-27.97546
1336,16.44592,-30.12848,-27.72217
1389,15.55176,-29.97589,-27.30865
1435,15.05127,-30.08270,-28.19672
1485,15.70892,-30.55878,-27.27661
1536,17.43011,-31.17065,-26.41144
1586,18.03741,-31.37054,-26.75629
1634,16.77551,-31.15540,-28.03955
1685,16.13617,-30.35126,-27.36359
1736,15.53497,-29.96368,-26.89209
1786,13.40790,-28.92456,-27.25525
1842,11.61804,-27.72675,-26.95618
1885,9.94110,-27.07672,-27.22626
1936,7.75757,-25.59967,-29.56085
1985,8.22144,-26.08795,-26.68304
2036,8.14209,-25.83923,-25.72479
2086,8.19397,-25.95520,-25.71869
2135,7.49664,-25.99487,-25.30518
2186,7.16858,-25.93231,-25.15106
2235,5.95551,-25.56305,-25.75226
2285,6.07147,-26.27716,-24.32098
2335,7.19299,-26.49384,-24.27979
2386,7.56531,-27.40021,-24.65363
2439,7.72705,-27.56500,-24.46747
2484,7.02667,-26.74561,-25.27008
2536,8.03528,-27.80762,-23.63586
2586,8.05054,-27.89764,-23.44513
2635,7.75299,-27.62756,-23.49243
2688,8.59985,-28.52478,-22.04437
2736,8.82568,-28.42865,-22.25037
2785,9.08813,-29.48151,-22.19086
2835,10.28137,-29.83246,-21.86737
2892,10.48126,-30.17883,-22.50214
2935,9.20715,-29.91638,-23.27881
2986,10.57129,-29.97437,-23.21625
3036,10.67657,-30.29480,-21.85822
3086,10.51331,-30.28564,-21.43250
3137,9.74121,-30.10864,-21.35315
3185,10.12573,-30.52216,-21.48590
3236,10.32715,-30.79834,-20.78400
3285,10.66284,-30.86395,-21.49353
3336,11.70654,-31.21490,-21.20667
3389,11.88965,-31.55060,-20.77789
3436,12.04224,-31.59637,-20.04242
3486,11.45477,-31.86798,-20.82214
3536,13.60016,-32.89032,-18.88733
3587,15.39612,-33.90045,-19.06128
3636,15.88440,-33.77686,-19.65485
3685,16.38489,-34.05457,-18.83240
3737,16.83502,-34.13239,-19.31610
3785,17.38892,-34.21173,-20.36133
3835,18.70422,-34.15833,-19.61060
3886,18.87817,-34.86938,-20.03326
3943,20.33844,-35.15778,-20.00732
3985,19.53125,-34.95178,-20.39032
4037,20.94879,-34.73511,-22.15729
4087,19.74030,-34.53522,-20.75653
4135,19.99969,-34.54132,-21.18835
4187,18.72253,-34.28040,-21.36230
