time,available,total
843,3314290688,6018187264
1843,3308961792,6018187264
2893,3306995712,6018187264
3945,3303759872,6018187264
4942,3311353856,6018187264
6004,3308924928,6018187264
6993,3306872832,6018187264
7994,3303768064,6018187264
8990,3313557504,6018187264
9992,3312435200,6018187264
11003,3310567424,6018187264
11993,3303739392,6018187264
13003,3300089856,6018187264
14053,3308777472,6018187264
15038,3336749056,6018187264
16043,3334475776,6018187264
17043,3332317184,6018187264
18055,3328790528,6018187264
19043,3330027520,6018187264
20044,3329056768,6018187264
21091,3327909888,6018187264
22095,3322335232,6018187264
23092,3318689792,6018187264
24092,3320135680,6018187264
25098,3318710272,6018187264
26148,3317288960,6018187264
27145,3315924992,6018187264
28150,3313106944,6018187264
29144,3311583232,6018187264
30147,3308789760,6018187264
31157,3306950656,6018187264
32189,3304673280,6018187264
33190,3281686528,6018187264
34190,3287445504,6018187264
35240,3285843968,6018187264
36241,3283894272,6018187264
37244,3282059264,6018187264
38252,3281473536,6018187264
39251,3279835136,6018187264
40239,3277156352,6018187264
41239,3275276288,6018187264
42252,3295051776,6018187264
43251,3299655680,6018187264
44240,3298942976,6018187264
45251,3296706560,6018187264
46240,3295723520,6018187264
47245,3294269440,6018187264
48240,3291557888,6018187264
49249,3290112000,6018187264
50252,3288576000,6018187264
51251,3287851008,6018187264
52241,3286634496,6018187264
53242,3292188672,6018187264
54242,3290734592,6018187264
55253,3289673728,6018187264
56240,3288612864,6018187264
57240,3286855680,6018187264
58251,3284934656,6018187264
59241,3282841600,6018187264
60242,3281661952,6018187264
61245,3280396288,6018187264
62293,3287412736,6018187264
63293,3284643840,6018187264
64296,3283902464,6018187264
65294,3282120704,6018187264
66343,3281297408,6018187264
67340,3278622720,6018187264
68337,3276066816,6018187264
69343,3280089088,6018187264
70399,3267178496,6018187264
71391,3273187328,6018187264
72394,3271303168,6018187264
73403,3267313664,6018187264
74441,3268128768,6018187264
75478,3285352448,6018187264
76492,3280142336,6018187264
77545,3278729216,6018187264
78539,3276451840,6018187264
79542,3273641984,6018187264
80597,3281158144,6018187264
81652,3278815232,6018187264
82639,3277426688,6018187264
83642,3275051008,6018187264
84651,3273027584,6018187264
85642,3271970816,6018187264
86645,3270815744,6018187264
87697,3269267456,6018187264
88705,3265306624,6018187264
89741,3267874816,6018187264
90740,3267747840,6018187264
91751,3266248704,6018187264
92742,3265650688,6018187264
93757,3263180800,6018187264
94741,3261251584,6018187264
95743,3259793408,6018187264
96740,3257782272,6018187264
97796,3253981184,6018187264
98788,3286085632,6018187264
99796,3284852736,6018187264
100844,3283791872,6018187264
101899,3279355904,6018187264
102891,3277205504,6018187264
103892,3274543104,6018187264
104892,3272802304,6018187264
105894,3270352896,6018187264
106940,3269320704,6018187264
107955,3267956736,6018187264
108999,3273445376,6018187264
110043,3276046336,6018187264
111041,3276455936,6018187264
112041,3275534336,6018187264
113050,3273129984,6018187264
114097,3269996544,6018187264
115094,3268341760,6018187264
116094,3264729088,6018187264
117112,3263172608,6018187264
118090,3270017024,6018187264
119109,3268861952,6018187264
120105,3267182592,6018187264
121089,3264405504,6018187264
122097,3208601600,6018187264
123112,3172704256,6018187264
124152,3170762752,6018187264
125158,3169472512,6018187264
126147,3206086656,6018187264
127159,3214389248,6018187264
128149,3204116480,6018187264
129206,3203690496,6018187264
130200,3203428352,6018187264
131205,3204079616,6018187264
132260,3204124672,6018187264
133238,3202850816,6018187264
134251,3198566400,6018187264
135243,3197976576,6018187264
136252,3196813312,6018187264
137253,3200524288,6018187264
138260,3200434176,6018187264
139250,3203317760,6018187264
140250,3200794624,6018187264
141256,3199795200,6018187264
142302,3206037504,6018187264
143303,3206057984,6018187264
144308,3206307840,6018187264
145358,3206086656,6018187264
146369,3203837952,6018187264
147338,3203706880,6018187264
148353,3198210048,6018187264
149345,3208806400,6018187264
150391,3205836800,6018187264
151399,3203719168,6018187264
152394,3202396160,6018187264
153435,3202191360,6018187264
154411,3200667648,6018187264
155414,3173453824,6018187264
156393,3170680832,6018187264
157442,3121811456,6018187264
