time,total received,total sent,mobile received,mobile sent
843,822376,622616,0,0
1843,824208,625669,0,0
2893,826585,629718,0,0
3945,827465,631962,0,0
4942,829423,636540,0,0
6004,830063,637500,0,0
6993,831000,639772,0,0
7994,832203,642650,0,0
8990,833113,644894,0,0
9992,834043,647184,0,0
11006,835084,649780,0,0
11993,836090,652108,0,0
13003,837118,654750,0,0
14053,838132,657294,0,0
15038,839033,659592,0,0
16043,839233,659892,0,0
17043,840279,662324,0,0
18055,841521,664896,0,0
19043,842427,667180,0,0
20044,842771,667532,0,0
21091,843695,669826,0,0
22095,845077,672708,0,0
23092,846120,675250,0,0
24092,847079,677468,0,0
25099,848011,679692,0,0
26148,848895,682234,0,0
27145,849978,684822,0,0
28150,850667,687374,0,0
29144,850891,689738,0,0
30147,851868,691514,0,0
31157,851991,693888,0,0
32189,852354,695932,0,0
33190,852757,696596,0,0
34190,852981,698906,0,0
35240,853839,701294,0,0
36241,855072,704564,0,0
37246,856355,707406,0,0
38252,857332,709942,0,0
39251,858234,712296,0,0
40239,859088,715332,0,0
41239,859422,717008,0,0
42252,859422,718568,0,0
43251,859422,718688,0,0
44240,859462,720428,0,0
45251,859514,720480,0,0
46240,859566,720664,0,0
47246,859566,720664,0,0
48240,859566,720724,0,0
49249,859566,722284,0,0
50252,859606,722464,0,0
51254,859606,722524,0,0
52241,859670,723464,0,0
53242,859670,723760,0,0
54242,859670,724056,0,0
55253,859670,724176,0,0
56240,859670,724592,0,0
57240,859670,724774,0,0
58251,859670,724894,0,0
59241,859670,726514,0,0
60242,859670,726514,0,0
61245,859670,726810,0,0
62293,859670,726872,0,0
63293,859670,726932,0,0
64296,859670,727052,0,0
65294,859670,727172,0,0
66343,859670,727232,0,0
67340,859670,727414,0,0
68337,859670,727474,0,0
69343,859670,727534,0,0
70399,859670,728480,76,1191
71391,859670,729116,76,1611
72394,859670,729566,76,1853
73403,860326,729866,76,2153
74441,860326,730106,76,2393
75478,874483,738221,0,0
76492,877303,743509,0,0
77545,877677,743632,0,0
78541,877709,743632,0,0
79542,877909,743932,0,0
80597,878109,744288,0,0
81652,878109,744350,0,0
82639,880225,746371,0,0
83643,880225,746427,0,0
84651,880425,746727,0,0
85643,880753,747170,0,0
86645,880753,747170,0,0
87698,880829,747230,0,0
88705,886782,750808,0,0
89741,887935,751258,0,0
90740,888135,751558,0,0
91751,889958,752223,0,0
92742,890552,752343,0,0
93757,890952,752943,0,0
94741,890952,752943,0,0
95743,890952,752943,0,0
96740,891875,754107,0,0
97796,892275,754707,0,0
98789,892475,755063,0,0
99796,892475,755063,0,0
100845,892675,755363,0,0
101899,892675,755363,0,0
102891,893075,755963,0,0
103892,893115,756023,0,0
104892,893315,756323,0,0
105894,893315,756323,0,0
106940,893515,756623,0,0
107955,893515,756623,0,0
108999,893515,756623,0,0
110043,893515,756623,0,0
111041,893778,757780,0,0
112041,893925,758256,0,0
113050,893925,758548,0,0
114097,895290,762508,0,0
115095,899341,765894,0,0
116095,901024,766626,0,0
117112,901392,771960,0,0
118090,902272,773584,0,0
119109,902272,773584,0,0
120105,902324,775304,0,0
121089,902324,775424,0,0
122098,902324,775424,0,0
123112,902324,775666,0,0
124152,904343,777594,0,0
125158,905498,777878,0,0
126147,905498,778058,0,0
127159,906637,778538,0,0
128149,906677,778720,0,0
129207,906677,778780,0,0
130200,906677,780880,0,0
131205,906677,781600,0,0
132260,906677,781780,0,0
133238,906677,782502,0,0
134251,906677,783941,167,4500
135243,906677,784721,167,5280
136252,906677,784721,167,5280
137254,906677,785501,167,6060
138260,906677,785561,167,6120
139250,906677,786280,167,6839
140250,906677,786280,167,6839
141256,906677,787120,167,7679
142303,906677,787120,167,7679
143303,906677,787120,167,7679
144309,906677,787779,167,8338
145358,906756,787899,246,8458
146370,913182,788159,546,8578
147338,938994,788219,546,8638
148353,963917,789982,546,8788
149345,1003891,800865,0,0
150391,1041035,803421,0,0
151402,1068874,807959,0,0
152394,1103476,809111,0,0
153435,1130051,812991,0,0
154411,1162289,816011,0,0
155414,1193400,817631,0,0
156393,1230591,819569,0,0
157442,1240964,819877,0,0
