time,distance
35,5.00031
86,5.00031
135,5.00031
186,5.00031
235,5.00031
286,5.00031
335,5.00031
386,5.00031
437,5.00031
486,5.00031
536,5.00031
585,5.00031
635,5.00031
685,5.00031
736,5.00031
785,5.00031
842,5.00031
885,5.00031
936,5.00031
985,5.00031
1040,5.00031
1085,5.00031
1137,5.00031
1187,5.00031
1236,5.00031
1286,5.00031
1337,5.00031
1389,5.00031
1435,5.00031
1485,5.00031
1536,5.00031
1586,5.00031
1635,5.00031
1686,5.00031
1737,5.00031
1786,5.00031
1843,5.00031
1885,5.00031
1936,5.00031
1985,5.00031
2037,5.00031
2087,5.00031
2135,5.00031
2187,5.00031
2236,5.00031
2285,5.00031
2335,5.00031
2386,5.00031
2439,5.00031
2485,5.00031
2537,5.00031
2586,5.00031
2635,5.00031
2688,5.00031
2736,5.00031
2785,5.00031
2835,5.00031
2893,5.00031
2935,5.00031
2986,5.00031
3037,5.00031
3086,5.00031
3138,5.00031
3186,5.00031
3238,5.00031
3285,5.00031
3336,5.00031
3391,5.00031
3437,5.00031
3486,5.00031
3536,5.00031
3587,5.00031
3636,5.00031
3686,5.00031
3738,5.00031
3786,5.00031
3835,5.00031
3886,5.00031
3944,5.00031
3986,5.00031
4038,5.00031
4087,5.00031
4136,5.00031
4188,5.00031
4236,5.00031
4286,5.00031
4339,5.00031
4387,5.00031
4435,5.00031
4485,5.00031
4535,5.00031
4589,5.00031
4638,5.00031
4689,5.00031
4735,5.00031
4785,5.00031
4836,5.00031
4889,5.00031
4942,5.00031
4985,5.00031
5035,5.00031
5085,5.00031
5136,5.00031
5185,5.00031
5236,5.00031
5287,5.00031
5336,5.00031
5386,5.00031
5437,5.00031
5485,5.00031
5536,5.00031
5585,5.00031
5637,5.00031
5687,5.00031
5736,5.00031
5787,5.00031
5838,5.00031
5887,5.00031
5935,5.00031
6002,5.00031
6035,5.00031
6085,5.00031
6137,5.00031
6186,5.00031
6235,5.00031
6286,5.00031
6337,5.00031
6385,5.00031
6436,5.00031
6485,5.00031
6537,5.00031
6586,5.00031
6636,5.00031
6686,5.00031
6736,5.00031
6788,5.00031
6837,5.00031
6887,5.00031
6936,5.00031
6992,5.00031
7036,5.00031
7085,5.00031
7137,5.00031
7188,5.00031
7239,5.00031
7285,5.00031
7336,5.00031
7387,5.00031
7436,5.00031
7485,5.00031
7535,5.00031
7585,5.00031
7636,5.00031
7687,5.00031
7738,5.00031
7786,5.00031
7836,5.00031
7887,5.00031
7937,5.00031
7991,5.00031
8035,5.00031
8086,5.00031
8138,5.00031
8188,5.00031
8236,5.00031
8285,5.00031
8336,5.00031
8385,5.00031
8437,5.00031
8486,5.00031
8536,5.00031
8585,5.00031
8637,5.00031
8687,5.00031
8736,5.00031
8786,5.00031
8836,5.00031
8888,5.00031
8936,5.00031
8989,5.00031
9038,5.00031
9085,5.00031
9136,5.00031
9188,5.00031
9237,5.00031
9288,5.00031
9335,5.00031
9387,5.00031
9436,5.00031
9486,5.00031
9535,5.00031
9588,5.00031
9636,5.00031
9685,5.00031
9736,5.00031
9786,5.00031
9836,5.00031
9886,5.00031
9935,5.00031
9992,5.00031
10035,5.00031
10085,5.00031
10136,5.00031
10187,5.00031
10237,5.00031
10286,5.00031
10339,5.00031
10391,5.00031
10437,5.00031
10486,5.00031
10535,5.00031
10585,5.00031
10635,5.00031
10686,5.00031
10736,5.00031
10790,5.00031
10838,5.00031
10886,5.00031
10935,5.00031
10996,5.00031
11035,5.00031
11086,5.00031
11135,5.00031
11186,5.00031
11237,5.00031
11286,5.00031
11336,5.00031
11390,5.00031
11436,5.00031
11486,5.00031
11536,5.00031
11586,5.00031
11635,5.00031
11689,5.00031
11735,5.00031
11785,5.00031
11837,5.00031
11887,5.00031
11936,5.00031
11992,5.00031
12035,5.00031
12085,5.00031
12137,5.00031
12186,5.00031
12237,5.00031
12286,5.00031
12335,5.00031
12388,5.00031
12437,5.00031
12487,5.00031
12535,5.00031
12585,5.00031
12635,5.00031
12687,5.00031
12738,5.00031
12796,5.00031
12835,5.00031
12885,5.00031
12936,5.00031
12999,5.00031
13035,5.00031
13085,5.00031
13135,5.00031
13185,5.00031
13237,5.00031
13287,5.00031
13337,5.00031
13386,5.00031
13435,5.00031
13487,5.00031
13535,5.00031
13585,5.00031
13635,5.00031
13685,5.00031
13737,5.00031
13791,5.00031
13835,5.00031
13885,5.00031
13936,5.00031
13985,5.00031
14050,5.00031
14085,5.00031
14135,5.00031
14187,5.00031
14236,5.00031
14294,5.00031
14338,5.00031
14387,5.00031
14439,5.00031
14487,5.00031
14535,5.00031
14586,5.00031
14638,5.00031
14686,5.00031
14736,5.00031
14787,5.00031
14837,5.00031
14884,5.00031
14935,5.00031
14985,5.00031
15038,5.00031
15085,5.00031
15135,5.00031
15185,5.00031
15236,5.00031
15290,5.00031
15335,5.00031
15385,5.00031
15436,5.00031
15486,5.00031
15535,5.00031
15585,5.00031
15636,5.00031
15687,5.00031
15735,5.00031
15786,5.00031
15836,5.00031
15886,5.00031
15937,5.00031
15986,5.00031
16042,5.00031
16085,5.00031
16136,5.00031
16185,5.00031
16236,5.00031
16287,5.00031
16335,5.00031
16385,5.00031
