time,strength,level,source
843,99,2,gsm
2893,99,2,gsm
6003,99,2,gsm
7994,99,3,gsm
11993,99,2,gsm
14053,99,3,gsm
17043,99,2,gsm
21091,99,3,gsm
30147,99,2,gsm
32189,99,2,gsm
34190,99,2,gsm
37241,99,2,gsm
39251,99,2,gsm
40239,99,2,gsm
41239,99,2,gsm
46240,99,2,gsm
48239,99,2,gsm
49249,99,2,gsm
50251,99,2,gsm
52241,99,2,gsm
55252,99,2,gsm
57240,99,2,gsm
58250,99,2,gsm
59241,99,3,gsm
61244,99,2,gsm
63292,99,2,gsm
64295,99,2,gsm
67340,99,2,gsm
70398,99,2,gsm
73402,99,3,gsm
76491,99,3,gsm
79540,99,3,gsm
82639,99,3,gsm
85642,99,3,gsm
91750,99,3,gsm
92742,99,3,gsm
94740,99,3,gsm
97795,99,2,gsm
100844,99,3,gsm
105893,99,3,gsm
106940,99,2,gsm
108998,99,3,gsm
110042,99,2,gsm
113047,99,3,gsm
116093,99,2,gsm
119107,99,2,gsm
122097,99,2,gsm
135243,99,2,gsm
154411,99,2,gsm
156392,99,2,gsm
157442,99,1,gsm
