time,dB(SPL)
35,31.36403
85,21.58362
135,56.49553
185,57.99641
235,42.98438
285,33.06425
335,33.80392
385,34.15140
435,34.96376
486,34.15140
535,33.97940
585,35.41704
635,34.48552
685,31.36403
735,30.88136
785,32.04120
842,58.68997
885,44.95947
935,34.96376
985,34.32007
1039,32.04120
1085,28.62728
1136,58.16970
1186,42.86030
1235,29.24796
1285,31.36403
1336,29.54243
1386,27.23456
1435,22.92256
1484,29.54243
1535,32.66937
1585,30.37028
1634,28.94316
1685,30.88136
1736,33.62482
1786,35.41704
1842,32.66937
1885,30.88136
1935,31.82129
1985,29.54243
2036,34.48552
2086,30.62958
2135,22.27887
2186,26.84845
2235,30.37028
2285,23.52183
2335,32.66937
2385,28.62728
2438,29.54243
2484,28.29947
2535,28.94316
2586,30.10300
2635,28.29947
2687,26.02060
2736,27.23456
2784,28.29947
2835,35.41704
2892,30.88136
2935,27.23456
2986,23.52183
3036,34.64788
3086,33.06425
3137,30.88136
3185,28.62728
3235,30.37028
3285,33.97940
3336,31.82129
3389,31.36403
3436,22.92256
3485,24.08240
3536,31.12605
3586,32.25568
3635,25.10545
3685,20.00000
3737,23.52183
3785,21.58362
3835,22.27887
3886,32.86905
3943,28.94316
3985,22.27887
4037,33.44196
4086,35.98681
4135,32.04120
4186,30.88136
4235,30.37028
4285,20.00000
4337,24.08240
4385,21.58362
4435,27.95880
4485,32.04120
4535,58.45451
4588,51.24586
4636,26.44439
4687,20.82785
4735,18.06180
4785,21.58362
4835,28.94316
4887,23.52183
4941,15.56303
4985,55.94535
5035,58.26568
5085,59.70853
5135,48.53023
5185,27.95880
5236,25.57507
5286,19.08485
5335,23.52183
5385,15.56303
5436,19.08485
5485,16.90196
5535,33.06425
5585,32.86905
5636,31.12605
5685,23.52183
5735,25.57507
5785,18.06180
5836,27.23456
5885,24.08240
5935,21.58362
5999,20.82785
6035,22.27887
6085,21.58362
6136,34.80725
6185,29.24796
6235,22.27887
6285,33.80392
6337,35.11750
6385,29.54243
6436,20.00000
6485,25.10545
6536,34.80725
6585,30.10300
6636,21.58362
6685,23.52183
6735,22.92256
6786,29.54243
6836,27.95880
6887,20.82785
6935,22.92256
6992,24.60898
7035,28.62728
7085,37.02517
7136,34.48552
7186,29.82723
7236,20.82785
7285,26.84845
7336,24.08240
7385,22.92256
7435,20.00000
7485,28.62728
7535,31.36403
7585,58.07265
7635,59.12337
7685,36.25827
7737,27.60422
7785,25.10545
7835,23.52183
7886,27.95880
7937,28.62728
7991,20.82785
8034,27.95880
8085,32.04120
8135,33.97940
8187,24.60898
8235,25.57507
8285,21.58362
8336,28.62728
8384,20.82785
8436,21.58362
8485,25.57507
8535,27.23456
8585,24.08240
8636,24.60898
8686,19.08485
8735,19.08485
8785,19.08485
8835,31.12605
8886,27.95880
8936,26.02060
8989,24.60898
9038,27.60422
9084,25.10545
9135,59.77118
9188,36.52150
9236,27.60422
9286,22.27887
9335,23.52183
9386,28.29947
9435,31.12605
9486,26.02060
9535,30.37028
9586,31.12605
9636,29.82723
9685,26.84845
9735,33.06425
9785,32.86905
9836,28.29947
9885,26.84845
9935,15.56303
9992,19.08485
10035,25.10545
10084,29.82723
10136,35.70660
10186,30.10300
10237,22.27887
10286,22.27887
10338,18.06180
10390,26.44439
10437,20.00000
10485,18.06180
10535,19.08485
10585,33.97940
10635,32.46499
10685,34.64788
10735,33.25516
10787,26.84845
10837,19.08485
10885,21.58362
10935,19.08485
10995,15.56303
11035,16.90196
11085,21.58362
11135,57.39636
11185,59.74438
11236,33.25516
11285,21.58362
11335,24.08240
11389,19.08485
11435,22.92256
11485,33.06425
11535,30.37028
11585,29.82723
11635,34.15140
11687,24.08240
11735,22.27887
11785,59.45331
11836,43.22736
11887,28.29947
11935,31.12605
11992,32.86905
12034,24.60898
12084,34.64788
12136,37.14665
12185,26.44439
12236,21.58362
12285,15.56303
12335,19.08485
12386,20.82785
12436,22.27887
12486,19.08485
12535,22.27887
12585,30.10300
12634,31.59567
12685,32.86905
12737,30.62958
12793,29.54243
12835,24.60898
12885,27.23456
12935,33.97940
12998,28.29947
13034,24.60898
13085,24.08240
13135,35.98681
13185,34.96376
13236,31.12605
13287,22.27887
13336,20.82785
13386,26.44439
13435,22.92256
13486,15.56303
13534,20.82785
13584,35.84783
13635,34.48552
13685,30.10300
13736,35.70660
13789,32.86905
13835,23.52183
13885,34.15140
13935,32.46499
13985,31.12605
14045,31.36403
14085,30.88136
14135,31.12605
14185,34.32007
14235,35.70660
14288,27.23456
14336,27.95880
14385,22.92256
14438,27.23456
14485,19.08485
14535,56.81466
14585,62.24540
14637,58.28686
14685,38.68997
14735,21.58362
14786,25.57507
14836,13.97940
14884,18.06180
14935,31.12605
14985,30.88136
15038,34.80725
15085,37.38463
15135,36.12360
15185,33.62482
15236,33.62482
15286,32.25568
15335,29.54243
15384,27.60422
15436,23.52183
15485,33.44196
15535,30.37028
15585,28.62728
15635,38.48559
15686,32.46499
15735,31.12605
15785,32.04120
15836,31.82129
15885,20.00000
15936,25.57507
15985,32.04120
16041,31.82129
16085,19.08485
16136,36.77698
16185,59.09450
16235,34.64788
16286,36.65018
16335,33.06425
16385,29.82723
16435,59.96519
16489,38.27628
16534,31.12605
16585,27.60422
16636,32.86905
16687,35.70660
16736,34.32007
16785,34.15140
16835,32.86905
16885,33.97940
16936,31.12605
16986,30.10300
17040,31.36403
17085,31.82129
17135,33.62482
17185,37.38463
17236,33.62482
17286,31.36403
17335,28.94316
17386,30.37028
17435,33.06425
17485,30.88136
17535,31.59567
17585,35.41704
17636,32.04120
17685,26.02060
17735,31.82129
17785,37.72981
17836,33.25516
17885,26.84845
17936,32.04120
17985,33.97940
18053,36.12360
18085,31.59567
18135,33.06425
18185,34.80725
18235,36.52150
18287,32.46499
18335,27.23456
18385,29.24796
18435,35.98681
18485,25.57507
18535,34.64788
18588,32.04120
18636,28.62728
18688,27.95880
18735,27.95880
18785,33.80392
18835,36.25827
18886,31.12605
18936,29.54243
18985,24.08240
19042,29.24796
19084,33.25516
19135,30.10300
19186,33.97940
19236,34.96376
19286,31.12605
19335,30.37028
19386,23.52183
19436,29.54243
19485,27.23456
19537,32.66937
19585,31.59567
19636,31.12605
19686,32.46499
19736,27.95880
19789,21.58362
19835,26.44439
19885,19.08485
19935,28.29947
19988,24.60898
20043,31.36403
20085,26.44439
20135,35.11750
20185,34.48552
20236,32.46499
20285,30.37028
20336,32.66937
20386,26.84845
20437,31.59567
20484,32.25568
20535,32.66937
20585,58.16970
20635,46.56759
20685,27.60422
20735,27.60422
20787,31.12605
20836,25.57507
20885,33.44196
20935,33.80392
20985,33.80392
21035,28.29947
21088,26.84845
21135,22.92256
21187,59.29462
21236,42.21179
